Time,Channel A
(ms),(V)

-0.00025100,0.82949310
0.00102900,1.45817400
0.00230900,2.08716100
0.00358900,2.53639300
0.00486900,3.16538000
0.00614900,3.61461200
0.00742900,4.24359900
0.00870900,4.69252600
0.00998900,5.14175800
0.01126900,5.59099100
0.01254900,6.13025300
0.01382900,6.48945600
0.01510900,6.84896400
0.01638900,7.20816700
0.01766900,7.56767500
0.01894900,7.83715300
0.02022900,8.10663100
0.02150900,8.28638600
0.02278900,8.46614000
0.02406900,8.64589400
0.02534900,8.73561900
0.02662900,8.82534200
0.02790900,8.91537200
0.02918900,8.91537200
0.03046900,8.91537200
0.03174900,8.82534200
0.03302900,8.73561900
0.03430900,8.55586400
0.03558900,8.46614000
0.03686900,8.28638600
0.03814900,8.10663100
0.03942900,7.83715300
0.04070900,7.56767500
0.04198900,7.20816700
0.04326900,6.93868800
0.04454900,6.57948500
0.04582900,6.21997700
0.04710900,5.86077500
0.04838900,5.41154200
0.04966900,5.05203400
0.05094900,4.60280200
0.05222900,4.15356900
0.05350900,3.70433700
0.05478900,3.25510400
0.05606900,2.80587200
0.05734900,2.26691500
0.05862900,1.81768200
0.05990900,1.36845000
0.06118900,0.82949310
0.06246900,0.38056580
0.06374900,-0.06866664
0.06502900,-0.51789910
0.06630900,-0.96713160
0.06758900,-1.41636400
0.06886900,-1.77587200
0.07014900,-2.31482900
0.07142900,-2.67433700
0.07270900,-3.03354000
0.07398900,-3.39304800
0.07526900,-3.75225100
0.07654900,-4.02172900
0.07782900,-4.38123700
0.07910900,-4.65071600
0.08038900,-4.92019400
0.08166900,-5.09994800
0.08294900,-5.36942700
0.08422900,-5.54918100
0.08550900,-5.72893500
0.08678900,-5.81865900
0.08806900,-5.90868900
0.08934900,-5.99841300
0.09062900,-6.08813800
0.09190900,-6.08813800
0.09318900,-6.08813800
0.09446900,-6.08813800
0.09574900,-5.99841300
0.09702900,-5.99841300
0.09830900,-5.90868900
0.09958900,-5.81865900
0.10086900,-5.63890500
0.10214900,-5.45945600
0.10342900,-5.36942700
0.10470900,-5.09994800
0.10598900,-4.92019400
0.10726900,-4.74074500
0.10854900,-4.47096200
0.10982900,-4.29151300
0.11110900,-3.93200500
0.11238900,-3.66252600
0.11366900,-3.48277200
0.11494900,-3.21329400
0.11622900,-2.94381500
0.11750900,-2.67433700
0.11878900,-2.40455300
0.12006900,-2.04535100
0.12134900,-1.77587200
0.12262900,-1.50608800
0.12390900,-1.23661000
0.12518900,-0.96713160
0.12646900,-0.69765310
0.12774900,-0.42817470
0.12902900,-0.15869620
0.13030900,0.02105777
0.13158900,0.29053620
0.13286900,0.56001470
0.13414900,0.73946350
0.13542900,0.91921750
0.13670900,1.09897100
0.13798900,1.36845000
0.13926900,1.45817400
0.14054900,1.63792800
0.14182900,1.81768200
0.14310900,1.90740700
0.14438900,1.99743600
0.14566900,2.08716100
0.14694900,2.17719100
0.14822900,2.26691500
0.14950900,2.26691500
0.15078900,2.35663900
0.15206900,2.35663900
0.15334900,2.35663900
0.15462900,2.35663900
0.15590900,2.35663900
0.15718900,2.35663900
