Time,Channel A
(ms),(V)

0.28179800,-7.88506700
0.28307800,-7.88506700
0.28435800,-7.70531300
0.28563800,-7.70531300
0.28691800,-7.52586500
0.28819800,-7.34611000
0.28947800,-7.16635700
0.29075800,-6.89687800
0.29203800,-6.62739900
0.29331800,-6.35792100
0.29459800,-6.08813800
0.29587800,-5.72893500
0.29715800,-5.36942700
0.29843800,-5.01022400
0.29971800,-4.65071600
0.30099800,-4.29151300
0.30227800,-3.84228000
0.30355800,-3.48277200
0.30483800,-3.03354000
0.30611800,-2.67433700
0.30739800,-2.22510500
0.30867800,-1.77587200
0.30995800,-1.41636400
0.31123800,-0.96713160
0.31251800,-0.51789910
0.31379800,-0.06866664
0.31507800,0.29053620
0.31635800,0.64973910
0.31763800,1.09897100
0.31891800,1.45817400
0.32019800,1.81768200
0.32147800,2.08716100
0.32275800,2.44666900
0.32403800,2.71614700
0.32531800,2.98562600
0.32659800,3.25510400
0.32787800,3.52458300
0.32915800,3.70433700
0.33043800,3.97381500
0.33171800,4.06384500
0.33299800,4.24359900
0.33427800,4.33332300
0.33555800,4.51307700
0.33683800,4.60280200
0.33811800,4.60280200
0.33939800,4.69252600
0.34067800,4.69252600
0.34195800,4.69252600
0.34323800,4.69252600
0.34451800,4.60280200
0.34579800,4.60280200
0.34707800,4.51307700
0.34835800,4.42304800
0.34963800,4.33332300
0.35091800,4.24359900
0.35219800,4.06384500
0.35347800,3.88409100
0.35475800,3.79436600
0.35603800,3.61461200
0.35731800,3.43485800
0.35859800,3.25510400
0.35987800,3.07535000
0.36115800,2.89590100
0.36243800,2.71614700
0.36371800,2.53639300
0.36499800,2.35663900
0.36627800,2.17719100
0.36755800,1.99743600
0.36883800,1.81768200
0.37011800,1.63792800
0.37139800,1.45817400
0.37267800,1.27872600
0.37395800,1.09897100
0.37523800,1.00894200
0.37651800,0.91921750
0.37779800,0.73946350
0.37907800,0.64973910
0.38035800,0.47029020
0.38163800,0.38056580
0.38291800,0.38056580
0.38419800,0.29053620
0.38547800,0.20081180
0.38675800,0.11108740
0.38803800,0.11108740
0.38931800,0.02105777
0.39059800,0.02105777
0.39187800,0.02105777
0.39315800,0.02105777
0.39443800,0.02105777
0.39571800,0.02105777
0.39699800,0.02105777
0.39827800,0.11108740
0.39955800,0.02105777
0.40083800,0.11108740
0.40211800,0.11108740
0.40339800,0.20081180
0.40467800,0.20081180
0.40595800,0.20081180
0.40723800,0.29053620
0.40851800,0.29053620
0.40979800,0.38056580
0.41107800,0.38056580
0.41235800,0.38056580
0.41363800,0.38056580
0.41491800,0.38056580
0.41619800,0.38056580
0.41747800,0.38056580
0.41875800,0.38056580
0.42003800,0.38056580
0.42131800,0.29053620
0.42259800,0.29053620
0.42387800,0.29053620
0.42515800,0.11108740
0.42643800,0.02105777
0.42771800,0.02105777
0.42899800,-0.06866664
0.43027800,-0.24842070
0.43155800,-0.33814510
0.43283800,-0.42817470
0.43411800,-0.60792870
0.43539800,-0.69765310
0.43667800,-0.87740710
0.43795800,-1.05716100
0.43923800,-1.23661000
0.44051800,-1.41636400
0.44179800,-1.59611800
0.44307800,-1.77587200
0.44435800,-1.95532100
0.44563800,-2.13507500
0.44691800,-2.31482900
0.44819800,-2.58430700
0.44947800,-2.67433700
0.45075800,-2.94381500
0.45203800,-3.12356900
0.45331800,-3.30301800
0.45459800,-3.48277200
0.45587800,-3.66252600
0.45715800,-3.75225100
0.45843800,-3.93200500
0.45971800,-4.02172900
0.46099800,-4.20148300
0.46227800,-4.29151300
0.46355800,-4.38123700
0.46483800,-4.47096200
0.46611800,-4.65071600
0.46739800,-4.65071600
0.46867800,-4.65071600
0.46995800,-4.74074500
0.47123800,-4.74074500
