Pixel index,Intensity
1.00000000,0.00024642
2.00000000,0.00023903
3.00000000,0.00047196
4.00000000,0.00148311
5.00000000,0.00170522
6.00000000,0.00166742
7.00000000,0.00175705
8.00000000,0.00174940
9.00000000,0.00175176
10.00000000,0.00175995
11.00000000,0.00174117
12.00000000,0.00161717
13.00000000,0.00172002
14.00000000,0.00167588
15.00000000,0.00171210
16.00000000,0.00178112
17.00000000,0.00175176
18.00000000,0.00166742
19.00000000,0.00167454
20.00000000,0.00157488
21.00000000,0.00166185
22.00000000,0.00168063
23.00000000,0.00160632
24.00000000,0.00161003
25.00000000,0.00165261
26.00000000,0.00170313
27.00000000,0.00176498
28.00000000,0.00166477
29.00000000,0.00166980
30.00000000,0.00173880
31.00000000,0.00175439
32.00000000,0.00173617
33.00000000,0.00180728
34.00000000,0.00173882
35.00000000,0.00173591
36.00000000,0.00167588
37.00000000,0.00172269
38.00000000,0.00172295
39.00000000,0.00175703
40.00000000,0.00181814
41.00000000,0.00181523
42.00000000,0.00168593
43.00000000,0.00171473
44.00000000,0.00170443
45.00000000,0.00170415
46.00000000,0.00170177
47.00000000,0.00173060
48.00000000,0.00170125
49.00000000,0.00173852
50.00000000,0.00169648
51.00000000,0.00168828
52.00000000,0.00173087
53.00000000,0.00173854
54.00000000,0.00171768
55.00000000,0.00178084
56.00000000,0.00165447
57.00000000,0.00165657
58.00000000,0.00171420
59.00000000,0.00171472
60.00000000,0.00170442
61.00000000,0.00177819
62.00000000,0.00173881
63.00000000,0.00170151
64.00000000,0.00167270
65.00000000,0.00178877
66.00000000,0.00177423
67.00000000,0.00167506
68.00000000,0.00163834
69.00000000,0.00169095
70.00000000,0.00158280
71.00000000,0.00163566
72.00000000,0.00165366
73.00000000,0.00166026
74.00000000,0.00164889
75.00000000,0.00168827
76.00000000,0.00164625
77.00000000,0.00172795
78.00000000,0.00172294
79.00000000,0.00167771
80.00000000,0.00156956
81.00000000,0.00161901
82.00000000,0.00165155
83.00000000,0.00173325
84.00000000,0.00166478
85.00000000,0.00168566
86.00000000,0.00170972
87.00000000,0.00174910
88.00000000,0.00173881
89.00000000,0.00172266
90.00000000,0.00172558
91.00000000,0.00174118
92.00000000,0.00165420
93.00000000,0.00170944
94.00000000,0.00170178
95.00000000,0.00175967
96.00000000,0.00169119
97.00000000,0.00165920
98.00000000,0.00171501
99.00000000,0.00177819
100.00000000,0.00174147
101.00000000,0.00175494
102.00000000,0.00166662
103.00000000,0.00168828
104.00000000,0.00172636
105.00000000,0.00177950
106.00000000,0.00174116
107.00000000,0.00168035
108.00000000,0.00167271
109.00000000,0.00181626
110.00000000,0.00178640
111.00000000,0.00178612
112.00000000,0.00172637
113.00000000,0.00172371
114.00000000,0.00174410
115.00000000,0.00177555
116.00000000,0.00168855
117.00000000,0.00169358
118.00000000,0.00174674
119.00000000,0.00175783
120.00000000,0.00171237
121.00000000,0.00174382
122.00000000,0.00168328
123.00000000,0.00161954
124.00000000,0.00170971
125.00000000,0.00176496
126.00000000,0.00165656
127.00000000,0.00170494
128.00000000,0.00172558
129.00000000,0.00165656
130.00000000,0.00164626
131.00000000,0.00169358
132.00000000,0.00166477
133.00000000,0.00166713
134.00000000,0.00158544
135.00000000,0.00160633
136.00000000,0.00158809
137.00000000,0.00170946
138.00000000,0.00169915
139.00000000,0.00164467
140.00000000,0.00162643
141.00000000,0.00172373
142.00000000,0.00168064
143.00000000,0.00167772
144.00000000,0.00166479
145.00000000,0.00171475
146.00000000,0.00167588
147.00000000,0.00168564
148.00000000,0.00161718
149.00000000,0.00159310
150.00000000,0.00160368
151.00000000,0.00164597
152.00000000,0.00164890
153.00000000,0.00165788
154.00000000,0.00161981
155.00000000,0.00166183
156.00000000,0.00169121
157.00000000,0.00172266
158.00000000,0.00173642
159.00000000,0.00181787
160.00000000,0.00173087
161.00000000,0.00165893
162.00000000,0.00171237
163.00000000,0.00184695
164.00000000,0.00177318
165.00000000,0.00168564
166.00000000,0.00163832
167.00000000,0.00175968
168.00000000,0.00180862
169.00000000,0.00177555
170.00000000,0.00171501
171.00000000,0.00178348
172.00000000,0.00174937
173.00000000,0.00172450
174.00000000,0.00175467
175.00000000,0.00173061
176.00000000,0.00165949
177.00000000,0.00168829
178.00000000,0.00163038
179.00000000,0.00168564
180.00000000,0.00166477
181.00000000,0.00164070
182.00000000,0.00163066
183.00000000,0.00165655
184.00000000,0.00161983
185.00000000,0.00164202
186.00000000,0.00163039
187.00000000,0.00168828
188.00000000,0.00167799
189.00000000,0.00165657
190.00000000,0.00165341
191.00000000,0.00164943
192.00000000,0.00164468
193.00000000,0.00174382
194.00000000,0.00170972
195.00000000,0.00172795
196.00000000,0.00169386
197.00000000,0.00171474
198.00000000,0.00168858
199.00000000,0.00173325
200.00000000,0.00167535
201.00000000,0.00170680
202.00000000,0.00169122
203.00000000,0.00176207
204.00000000,0.00186838
205.00000000,0.00188397
206.00000000,0.00176525
207.00000000,0.00171736
208.00000000,0.00173615
209.00000000,0.00180199
210.00000000,0.00168857
211.00000000,0.00177290
212.00000000,0.00177583
213.00000000,0.00182844
214.00000000,0.00174940
215.00000000,0.00170152
216.00000000,0.00173088
217.00000000,0.00178613
218.00000000,0.00177846
219.00000000,0.00179671
220.00000000,0.00167879
221.00000000,0.00169622
222.00000000,0.00167799
223.00000000,0.00166793
224.00000000,0.00166477
225.00000000,0.00175968
226.00000000,0.00175203
227.00000000,0.00175175
228.00000000,0.00172558
229.00000000,0.00176497
230.00000000,0.00173617
231.00000000,0.00174911
232.00000000,0.00165155
233.00000000,0.00170151
234.00000000,0.00172560
235.00000000,0.00177160
236.00000000,0.00174410
237.00000000,0.00175016
238.00000000,0.00178112
239.00000000,0.00185224
240.00000000,0.00175733
241.00000000,0.00173590
242.00000000,0.00168037
243.00000000,0.00175176
244.00000000,0.00179964
245.00000000,0.00191836
246.00000000,0.00193978
247.00000000,0.00187868
248.00000000,0.00185515
249.00000000,0.00192363
250.00000000,0.00187895
251.00000000,0.00181784
252.00000000,0.00172029
253.00000000,0.00168829
254.00000000,0.00166742
255.00000000,0.00169624
256.00000000,0.00164388
257.00000000,0.00168565
258.00000000,0.00167271
259.00000000,0.00168699
260.00000000,0.00168117
261.00000000,0.00171580
262.00000000,0.00164970
263.00000000,0.00170151
264.00000000,0.00166741
265.00000000,0.00164862
266.00000000,0.00159602
267.00000000,0.00168643
268.00000000,0.00171235
269.00000000,0.00172531
270.00000000,0.00168330
271.00000000,0.00172876
272.00000000,0.00167800
273.00000000,0.00167507
274.00000000,0.00162378
275.00000000,0.00168457
276.00000000,0.00177157
277.00000000,0.00182577
278.00000000,0.00184457
279.00000000,0.00186015
280.00000000,0.00180754
281.00000000,0.00184164
282.00000000,0.00183135
283.00000000,0.00192098
284.00000000,0.00187894
285.00000000,0.00191568
286.00000000,0.00193714
287.00000000,0.00197653
288.00000000,0.00188955
289.00000000,0.00184166
290.00000000,0.00185779
291.00000000,0.00189982
292.00000000,0.00184722
293.00000000,0.00191569
294.00000000,0.00187630
295.00000000,0.00183901
296.00000000,0.00172823
297.00000000,0.00175441
298.00000000,0.00178641
299.00000000,0.00175704
300.00000000,0.00168856
301.00000000,0.00166712
302.00000000,0.00163672
303.00000000,0.00169093
304.00000000,0.00170181
305.00000000,0.00171474
306.00000000,0.00165313
307.00000000,0.00167507
308.00000000,0.00169704
309.00000000,0.00175863
310.00000000,0.00171765
311.00000000,0.00170678
312.00000000,0.00166739
313.00000000,0.00172266
314.00000000,0.00170177
315.00000000,0.00169435
316.00000000,0.00161980
317.00000000,0.00166449
318.00000000,0.00170709
319.00000000,0.00173325
320.00000000,0.00172929
321.00000000,0.00178612
322.00000000,0.00178904
323.00000000,0.00181785
324.00000000,0.00177318
325.00000000,0.00185487
326.00000000,0.00185779
327.00000000,0.00180462
328.00000000,0.00176128
329.00000000,0.00186811
330.00000000,0.00189481
331.00000000,0.00196064
332.00000000,0.00190538
333.00000000,0.00192361
334.00000000,0.00194506
335.00000000,0.00196065
336.00000000,0.00195828
337.00000000,0.00193420
338.00000000,0.00182474
339.00000000,0.00186175
340.00000000,0.00190274
341.00000000,0.00195007
342.00000000,0.00191863
343.00000000,0.00194479
344.00000000,0.00182871
345.00000000,0.00178031
346.00000000,0.00173616
347.00000000,0.00176232
348.00000000,0.00167535
349.00000000,0.00176233
350.00000000,0.00178641
351.00000000,0.00171473
