t(s),U1(V),U2(V)
"0,000000","0,036818","-0,031560"
"0,001000","0,042077","-0,031560"
"0,002000","0,036818","-0,031560"
"0,003000","0,042077","-0,026300"
"0,004000","0,047337","-0,026300"
"0,005000","0,042077","-0,026300"
"0,006000","0,047337","-0,031560"
"0,007000","0,042077","-0,031560"
"0,008000","0,047337","-0,026300"
"0,009000","0,052597","-0,031560"
"0,010000","0,052597","-0,031560"
"0,011000","0,052597","-0,031560"
"0,012000","0,052597","-0,031560"
"0,013000","0,052597","-0,031560"
"0,014000","0,052597","-0,031560"
"0,015000","0,057857","-0,031560"
"0,016000","0,057857","-0,026300"
"0,017000","0,063116","-0,031560"
"0,018000","0,063116","-0,026300"
"0,019000","0,063116","-0,031560"
"0,020000","0,063116","-0,031560"
"0,021000","0,063116","-0,031560"
"0,022000","0,063116","-0,031560"
"0,023000","0,068376","-0,031560"
"0,024000","0,068376","-0,031560"
"0,025000","0,068376","-0,031560"
"0,026000","0,073636","-0,031560"
"0,027000","0,073636","-0,031560"
"0,028000","0,073636","-0,036820"
"0,029000","0,073636","-0,031560"
"0,030000","0,073636","-0,031560"
"0,031000","0,078895","-0,031560"
"0,032000","0,078895","-0,031560"
"0,033000","0,084155","-0,031560"
"0,034000","0,078895","-0,031560"
"0,035000","0,084155","-0,031560"
"0,036000","0,084155","-0,031560"
"0,037000","0,089415","-0,031560"
"0,038000","0,084155","-0,031560"
"0,039000","0,089415","-0,031560"
"0,040000","0,089415","-0,031560"
"0,041000","0,089415","-0,036820"
"0,042000","0,094674","-0,031560"
"0,043000","0,089415","-0,031560"
"0,044000","0,094674","-0,031560"
"0,045000","0,094674","-0,036820"
"0,046000","0,099934","-0,031560"
"0,047000","0,099934","-0,031560"
"0,048000","0,099934","-0,031560"
"0,049000","0,105194","-0,031560"
"0,050000","0,105194","-0,036820"
"0,051000","0,105194","-0,031560"
"0,052000","0,099934","-0,031560"
"0,053000","0,105194","-0,031560"
"0,054000","0,110453","-0,031560"
"0,055000","0,110453","-0,031560"
