t (s)	U1(V)
"0,015200"	"0,784332"
"0,015300"	"0,784332"
"0,015400"	"0,784332"
"0,015500"	"0,784332"
"0,015600"	"0,784332"
"0,015700"	"0,784332"
"0,015800"	"0,784332"
"0,015900"	"0,784332"
"0,016000"	"0,784332"
"0,016100"	"0,779103"
"0,016200"	"0,784332"
"0,016300"	"0,784332"
"0,016400"	"0,784332"
"0,016500"	"0,779103"
"0,016600"	"0,779103"
"0,016700"	"0,784332"
"0,016800"	"0,779103"
"0,016900"	"0,779103"
"0,017000"	"0,779103"
"0,017100"	"0,779103"
"0,017200"	"0,779103"
"0,017300"	"0,779103"
"0,017400"	"0,773874"
"0,017500"	"0,779103"
"0,017600"	"0,779103"
"0,017700"	"0,773874"
"0,017800"	"0,773874"
"0,017900"	"0,773874"
"0,018000"	"0,773874"
"0,018100"	"0,773874"
"0,018200"	"0,773874"
"0,018300"	"0,773874"
"0,018400"	"0,773874"
"0,018500"	"0,773874"
"0,018600"	"0,773874"
"0,018700"	"0,773874"
"0,018800"	"0,768646"
"0,018900"	"0,773874"
"0,019000"	"0,773874"
"0,019100"	"0,768646"
"0,019200"	"0,773874"
"0,019300"	"0,768646"
"0,019400"	"0,773874"
"0,019500"	"0,768646"
"0,019600"	"0,763417"
"0,019700"	"0,768646"
"0,019800"	"0,768646"
"0,019900"	"0,768646"
"0,020000"	"0,768646"
"0,020100"	"0,763417"
"0,020200"	"0,768646"
"0,020300"	"0,763417"
"0,020400"	"0,763417"
"0,020500"	"0,758188"
"0,020600"	"0,763417"
"0,020700"	"0,763417"
"0,020800"	"0,763417"
"0,020900"	"0,763417"
"0,021000"	"0,763417"
"0,021100"	"0,763417"
"0,021200"	"0,763417"
"0,021300"	"0,758188"
"0,021400"	"0,758188"
"0,021500"	"0,758188"
"0,021600"	"0,758188"
"0,021700"	"0,758188"
"0,021800"	"0,758188"
"0,021900"	"0,763417"
"0,022000"	"0,758188"
"0,022100"	"0,758188"
"0,022200"	"0,758188"
"0,022300"	"0,752959"
"0,022400"	"0,752959"
"0,022500"	"0,758188"
"0,022600"	"0,758188"
"0,022700"	"0,758188"
"0,022800"	"0,758188"
"0,022900"	"0,752959"
"0,023000"	"0,752959"
"0,023100"	"0,752959"
"0,023200"	"0,752959"
"0,023300"	"0,752959"
"0,023400"	"0,752959"
"0,023500"	"0,747730"
"0,023600"	"0,747730"
"0,023700"	"0,752959"
"0,023800"	"0,752959"
