Frequency,Channel A
(kHz),(dBu)

0.00000000,-27.44924000
0.19073486,-33.90896000
0.38146973,-46.60951000
0.57220459,-63.77670000
0.76293945,-60.31300000
0.95367432,-60.06907000
1.14440918,-61.88120000
1.33514404,-67.72589000
1.52587891,-66.89650000
1.71661377,-60.98164000
1.90734863,-59.78334000
2.09808350,-62.35880000
2.28881836,-61.32032000
2.47955322,-57.65547000
2.67028809,-57.74395000
2.86102295,-60.69888000
3.05175781,-57.63081000
3.24249268,-59.88212000
3.43322754,-64.35605000
3.62396240,-60.51646000
3.81469727,-59.54710000
4.00543213,-57.54219000
4.19616699,-53.00494000
4.38690186,-52.02287000
4.57763672,-53.04995000
4.76837158,-55.14978000
4.95910645,-54.31225000
5.14984131,-59.30947000
5.34057617,-66.80414000
5.53131104,-60.17786000
5.72204590,-55.35263000
5.91278076,-63.89088000
6.10351563,-57.19685000
6.29425049,-50.67482000
6.48498535,-51.38851000
6.67572021,-54.67483000
6.86645508,-51.35168000
7.05718994,-50.75138000
7.24792480,-41.41061000
7.43865967,-38.09143000
7.62939453,-22.93873000
7.82012939,-13.24640000
8.01086426,-9.60632500
8.20159912,-12.38038000
8.39233398,-21.13625000
8.58306885,-37.01285000
8.77380371,-38.32816000
8.96453857,-36.21276000
9.15527344,-33.21565000
9.34600830,-35.55169000
9.53674316,-46.00101000
9.72747803,-50.65148000
9.91821289,-57.49874000
10.10894775,-68.87138000
10.29968262,-60.71207000
10.49041748,-56.34176000
10.68115234,-56.43159000
10.87188721,-59.91190000
11.06262207,-73.99652000
11.25335693,-67.13788000
11.44409180,-63.42321000
11.63482666,-57.87021000
11.82556152,-55.52347000
12.01629639,-56.26709000
12.20703125,-56.82478000
12.39776611,-55.13639000
12.58850098,-56.80199000
12.77923584,-63.26013000
12.96997070,-59.83242000
13.16070557,-58.05132000
13.35144043,-63.16135000
13.54217529,-64.67721000
13.73291016,-60.26003000
13.92364502,-60.33134000
14.11437988,-61.06641000
14.30511475,-63.74743000
14.49584961,-67.55286000
14.68658447,-70.86745000
14.87731934,-64.25518000
15.06805420,-61.55327000
15.25878906,-62.59358000
15.44952393,-54.78157000
15.64025879,-52.48975000
15.83099365,-52.50137000
16.02172852,-53.54150000
16.21246338,-55.45010000
16.40319824,-59.08325000
16.59393311,-60.61761000
16.78466797,-64.28651000
16.97540283,-64.13538000
17.16613770,-59.72582000
17.35687256,-61.51385000
17.54760742,-65.39550000
17.73834229,-64.87868000
17.92907715,-65.07454000
18.11981201,-61.83677000
18.31054688,-61.45578000
18.50128174,-62.64759000
18.69201660,-61.62429000
18.88275146,-58.01236000
19.07348633,-61.26674000
19.26422119,-62.51104000
19.45495605,-61.89558000
19.64569092,-56.94214000
19.83642578,-55.99983000
20.02716064,-58.94413000
20.21789551,-59.62707000
20.40863037,-56.91048000
20.59936523,-53.20699000
20.79010010,-52.10630000
20.98083496,-55.25280000
21.17156982,-63.85359000
21.36230469,-64.77196000
21.55303955,-59.76414000
21.74377441,-59.35487000
21.93450928,-58.95519000
22.12524414,-60.26958000
22.31597900,-65.48534000
22.50671387,-58.53216000
22.69744873,-54.66498000
22.88818359,-58.15781000
23.07891846,-59.72795000
23.26965332,-50.46761000
23.46038818,-48.48135000
23.65112305,-51.82633000
23.84185791,-60.95465000
24.03259277,-54.11724000
24.22332764,-61.21012000
24.41406250,-51.67290000
24.60479736,-47.49215000
24.79553223,-48.26792000
24.98626709,-51.81348000
25.17700195,-58.24259000
