Apr 15, 2025  10:33:23 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   5.85E-008, 
 30.10,   4.96E-008, 
 30.20,   2.73E-008, 
 30.30,   4.74E-009, 
 30.40,   1.55E-009, 
 30.50,   7.72E-010, 
 30.60,   5.18E-010, 
 30.70,   5.50E-010, 
 30.80,   7.38E-010, 
 30.90,   8.97E-010, 
 31.00,   1.02E-009, 
 31.10,   1.13E-009, 
 31.20,   1.17E-009, 
 31.30,   1.16E-009, 
 31.40,   1.69E-009, 
 31.50,   3.48E-009, 
 31.60,   1.88E-008, 
 31.70,   5.01E-008, 
 31.80,   6.59E-008, 
 31.90,   6.83E-008, 
 32.00,   6.66E-008, 
 32.10,   5.49E-008, 
 32.20,   2.73E-008, 
 32.30,   4.60E-009, 
 32.40,   1.50E-009, 
 32.50,   6.93E-010, 
 32.60,   3.83E-010, 
 32.70,   1.54E-010, 
 32.80,   7.46E-011, 
 32.90,   8.42E-011, 
 33.00,   8.87E-011, 
 33.10,   4.37E-011, 
 33.20,   1.99E-011, 
 33.30,   7.71E-012, 
 33.40,   4.50E-011, 
 33.50,   1.80E-011, 
 33.60,   2.83E-011, 
 33.70,   6.36E-011, 
 33.80,   1.51E-010, 
 33.90,   2.63E-010, 
 34.00,   2.81E-010, 
 34.10,   1.88E-010, 
 34.20,   1.27E-010, 
 34.30,   1.12E-010, 
 34.40,   9.06E-011, 
 34.50,   3.86E-011, 
 34.60,   9.00E-012, 
 34.70,  -1.09E-011, 
 34.80,   2.31E-011, 
 34.90,   4.05E-011, 
 35.00,   2.63E-011, 
 35.10,   1.80E-011, 
 35.20,   1.61E-011, 
 35.30,   2.19E-011, 
 35.40,   3.86E-011, 
 35.50,   1.67E-011, 
 35.60,   7.20E-011, 
 35.70,   2.54E-010, 
 35.80,   4.39E-010, 
 35.90,   5.71E-010, 
 36.00,   6.41E-010, 
 36.10,   6.12E-010, 
 36.20,   4.19E-010, 
 36.30,   1.47E-010, 
 36.40,   6.36E-011, 
 36.50,   6.04E-011, 
 36.60,   4.50E-011, 
 36.70,   4.05E-011, 
 36.80,   5.27E-011, 
 36.90,   6.36E-011, 
 37.00,   6.75E-011, 
 37.10,   7.13E-011, 
 37.20,   8.80E-011, 
 37.30,   2.89E-011, 
 37.40,  -6.43E-012, 
 37.50,  -3.21E-012, 
 37.60,   2.06E-011, 
 37.70,   9.38E-011, 
 37.80,   2.52E-010, 
 37.90,   3.59E-010, 
 38.00,   3.93E-010, 
 38.10,   4.42E-010, 
 38.20,   3.57E-010, 
 38.30,   1.56E-010, 
 38.40,   4.05E-011, 
 38.50,   1.93E-011, 
 38.60,   5.21E-011, 
 38.70,   3.16E-010, 
 38.80,   5.04E-010, 
 38.90,   6.99E-010, 
 39.00,   8.59E-010, 
 39.10,   9.55E-010, 
 39.20,   8.79E-010, 
 39.30,   5.66E-010, 
 39.40,   4.57E-010, 
 39.50,   5.75E-010, 
 39.60,   1.71E-009, 
 39.70,   4.88E-009, 
 39.80,   7.94E-009, 
 39.90,   8.87E-009, 
 40.00,   9.38E-009, 
 40.10,   8.05E-009, 
 40.20,   4.06E-009, 
 40.30,   1.54E-009, 
 40.40,   7.28E-010, 
 40.50,   4.91E-010, 
 40.60,   6.18E-010, 
 40.70,   1.35E-009, 
 40.80,   2.35E-009, 
 40.90,   3.05E-009, 
 41.00,   3.40E-009, 
 41.10,   3.66E-009, 
