Apr 15, 2025  09:25:53 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.20,   4.86E-009, 
 20.30,   3.66E-009, 
 20.40,   1.67E-009, 
 20.50,   8.19E-010, 
 20.60,   5.41E-010, 
 20.70,   4.81E-010, 
 20.80,   4.63E-010, 
 20.90,   4.20E-010, 
 21.00,   4.02E-010, 
 21.10,   4.01E-010, 
 21.20,   4.14E-010, 
 21.30,   2.85E-010, 
 21.40,   1.83E-010, 
 21.50,   1.31E-010, 
 21.60,   1.95E-010, 
 21.70,   6.42E-010, 
 21.80,   1.15E-009, 
 21.90,   1.68E-009, 
 22.00,   1.94E-009, 
 22.10,   2.07E-009, 
 22.20,   2.02E-009, 
 22.30,   1.56E-009, 
 22.40,   7.83E-010, 
 22.50,   4.65E-010, 
 22.60,   1.93E-010, 
 22.70,   1.31E-010, 
 22.80,   9.96E-011, 
 22.90,   6.11E-011, 
 23.00,   4.11E-011, 
 23.10,   3.21E-011, 
 23.20,   1.22E-011, 
 23.30,   1.93E-012, 
 23.40,   1.80E-011, 
 23.50,   2.44E-011, 
 23.60,   5.85E-011, 
 23.70,   3.58E-010, 
 23.80,   8.10E-010, 
 23.90,   1.21E-009, 
 24.00,   1.47E-009, 
 24.10,   1.68E-009, 
 24.20,   1.69E-009, 
 24.30,   1.44E-009, 
 24.40,   7.57E-010, 
 24.50,   5.12E-010, 
 24.60,   4.94E-010, 
 24.70,   1.23E-009, 
 24.80,   2.75E-009, 
 24.90,   4.29E-009, 
 25.00,   5.00E-009, 
 25.10,   5.25E-009, 
 25.20,   5.09E-009, 
 25.30,   4.06E-009, 
 25.40,   1.91E-009, 
 25.50,   1.34E-009, 
 25.60,   1.98E-009, 
 25.70,   8.55E-009, 
 25.80,   1.87E-008, 
 25.90,   2.49E-008, 
 26.00,   2.53E-008, 
 26.10,   2.60E-008, 
 26.20,   2.41E-008, 
 26.30,   1.71E-008, 
