Apr 15, 2025  10:39:19 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 49.50,  -3.73E-011, 
 49.60,  -2.25E-011, 
 49.70,   5.33E-011, 
 49.80,   1.61E-010, 
 49.90,   2.38E-010, 
 50.00,   3.40E-010, 
 50.10,   3.49E-010, 
 50.20,   2.92E-010, 
 50.30,   1.30E-010, 
 50.40,   4.76E-011, 
 50.50,   2.31E-011, 
 50.60,   4.56E-011, 
 50.70,   1.93E-011, 
 50.80,   6.30E-011, 
 50.90,   1.03E-010, 
 51.00,   1.51E-010, 
 51.10,   1.81E-010, 
 51.20,   1.57E-010, 
 51.30,   9.58E-011, 
 51.40,   6.17E-011, 
 51.50,   2.57E-012, 
 51.60,  -3.08E-011, 
 51.70,   1.93E-012, 
 51.80,   6.49E-011, 
 51.90,   9.25E-011, 
 52.00,   1.34E-010, 
 52.10,   1.45E-010, 
 52.20,   1.48E-010, 
 52.30,   1.10E-010, 
 52.40,   5.72E-011, 
 52.50,   5.66E-011, 
 52.60,   4.76E-011, 
 52.70,   4.43E-011, 
 52.80,   2.51E-011, 
 52.90,   5.01E-011, 
 53.00,   9.90E-011, 
 53.10,   1.14E-010, 
 53.20,   9.90E-011, 
 53.30,   7.01E-011, 
 53.40,   4.18E-011, 
 53.50,   1.16E-011, 
 53.60,   1.93E-012, 
 53.70,   1.74E-011, 
 53.80,   3.02E-011, 
 53.90,   7.97E-011, 
 54.00,   1.39E-010, 
 54.10,   1.54E-010, 
 54.20,   1.41E-010, 
 54.30,   9.45E-011, 
 54.40,   1.74E-011, 
 54.50,   2.76E-011, 
 54.60,   3.15E-011, 
 54.70,   5.33E-011, 
 54.80,   1.26E-010, 
 54.90,   3.39E-010, 
 55.00,   3.84E-010, 
 55.10,   4.36E-010, 
 55.20,   4.07E-010, 
 55.30,   2.37E-010, 
 55.40,   9.00E-011, 
 55.50,   3.73E-011, 
 55.60,   5.59E-011, 
 55.70,   7.71E-011, 
 55.80,   2.63E-010, 
 55.90,   5.28E-010, 
 56.00,   7.22E-010, 
 56.10,   8.33E-010, 
 56.20,   8.44E-010, 
 56.30,   6.00E-010, 
 56.40,   2.85E-010, 
 56.50,   1.45E-010, 
 56.60,   5.33E-011, 
 56.70,   3.53E-011, 
 56.80,   5.72E-011, 
 56.90,   8.87E-011, 
 57.00,   1.25E-010, 
 57.10,   1.63E-010, 
 57.20,   1.57E-010, 
 57.30,   1.19E-010, 
 57.40,   6.04E-011, 
 57.50,   4.76E-011, 
 57.60,   3.28E-011, 
 57.70,   5.46E-011, 
 57.80,   1.04E-010, 
 57.90,   1.66E-010, 
 58.00,   1.90E-010, 
 58.10,   2.35E-010, 
 58.20,   3.03E-010, 
 58.30,   1.73E-010, 
 58.40,   7.58E-011, 
 58.50,   3.15E-011, 
 58.60,   3.86E-012, 
 58.70,  -1.22E-011, 
 58.80,  -1.22E-011, 
 58.90,   1.80E-011, 
 59.00,   1.80E-011, 
 59.10,   1.93E-011, 
 59.20,   2.70E-011, 
 59.30,   1.80E-011, 
 59.40,   2.44E-011, 
 59.50,   1.93E-012, 
 59.60,  -1.93E-011, 
 59.70,  -2.51E-011, 
 59.80,  -1.29E-012, 
 59.90,  -3.21E-012, 
 60.00,   7.71E-012, 
 60.10,   3.08E-011, 
 60.20,   9.00E-012, 
 60.30,  -1.86E-011, 
 60.40,   1.41E-011, 
 60.50,   2.38E-011, 
 60.60,   9.00E-012, 
 60.70,  -2.06E-011, 
 60.80,  -7.71E-012, 
 60.90,   6.43E-012, 
 61.00,   3.86E-011, 
 61.10,   3.60E-011, 
 61.20,   3.28E-011, 
 61.30,   5.01E-011, 
 61.40,   5.78E-012, 
 61.50,  -2.63E-011, 
 61.60,   4.50E-012, 
 61.70,  -9.00E-012, 
 61.80,  -1.09E-011, 
 61.90,  -1.16E-011, 
 62.00,  -2.38E-011, 
 62.10,  -2.63E-011, 
 62.20,  -2.06E-011, 
 62.30,  -4.69E-011, 
 62.40,  -1.99E-011, 
 62.50,  -8.35E-012, 
 62.60,  -7.71E-012, 
 62.70,  -6.43E-013, 
 62.80,  -1.16E-011, 
 62.90,  -2.44E-011, 
 63.00,  -7.71E-012, 
 63.10,  -1.80E-011, 
 63.20,  -2.70E-011, 
 63.30,  -1.48E-011, 
 63.40,  -4.50E-012, 
 63.50,  -3.28E-011, 
 63.60,  -4.76E-011, 
 63.70,  -1.48E-011, 
 63.80,   3.92E-011, 
 63.90,   1.12E-010, 
 64.00,   1.51E-010, 
 64.10,   1.67E-010, 
 64.20,   1.51E-010, 
 64.30,   9.51E-011, 
 64.40,   3.60E-011, 
 64.50,  -1.09E-011, 
 64.60,  -5.27E-011, 
 64.70,  -3.98E-011, 
 64.80,  -1.03E-011, 
 64.90,   5.78E-012, 
 65.00,   1.29E-011, 
 65.10,  -5.14E-012, 
 65.20,   1.93E-012, 
 65.30,  -3.21E-012, 
 65.40,  -1.93E-012, 
 65.50,  -9.00E-012, 
 65.60,  -1.22E-011, 
 65.70,  -5.72E-011, 
 65.80,  -3.53E-011, 
 65.90,  -3.86E-012, 
 66.00,   2.12E-011, 
 66.10,   1.29E-012, 
 66.20,  -3.21E-012, 
 66.30,   3.28E-011, 
 66.40,   3.73E-011, 
 66.50,   6.43E-012, 
 66.60,  -2.76E-011, 
 66.70,  -1.67E-011, 
 66.80,   5.14E-012, 
 66.90,   6.43E-012, 
 67.00,   2.44E-011, 
 67.10,   7.07E-011, 
 67.20,   9.58E-011, 
 67.30,   4.37E-011, 
 67.40,  -3.86E-012, 
 67.50,  -1.41E-011, 
 67.60,  -4.24E-011, 
 67.70,  -3.28E-011, 
 67.80,  -2.31E-011, 
 67.90,  -1.61E-011, 
 68.00,   1.54E-011, 
 68.10,   3.79E-011, 
 68.20,   5.66E-011, 
 68.30,   2.31E-011, 
 68.40,  -4.50E-012, 
 68.50,  -2.25E-011, 
 68.60,   9.64E-012, 
 68.70,   3.98E-011, 
 68.80,   7.65E-011, 
 68.90,   1.29E-010, 
 69.00,   1.37E-010, 
 69.10,   1.46E-010, 
 69.20,   1.61E-010, 
 69.30,   1.43E-010, 
 69.40,   9.51E-011, 
 69.50,   3.86E-011, 
 69.60,   3.08E-011, 
 69.70,   3.86E-011, 
 69.80,   2.06E-011, 
 69.90,   2.63E-011, 
 70.00,   6.75E-011, 
 70.10,   4.88E-011, 
 70.20,   3.47E-011, 
 70.30,   7.07E-012, 
 70.40,  -2.44E-011, 
 70.50,  -3.08E-011, 
 70.60,  -3.47E-011, 
 70.70,  -1.86E-011, 
 70.80,  -2.63E-011, 
 70.90,  -2.25E-011, 
 71.00,  -3.08E-011, 
 71.10,  -3.60E-011, 
 71.20,  -9.64E-012, 
 71.30,  -3.66E-011, 
 71.40,  -1.99E-011, 
 71.50,  -1.54E-011, 
 71.60,  -5.78E-012, 
 71.70,   7.71E-012, 
 71.80,   1.29E-011, 
 71.90,   2.57E-012, 
 72.00,  -4.50E-012, 
 72.10,  -1.22E-011, 
 72.20,   6.43E-013, 
 72.30,  -2.76E-011, 
 72.40,   4.50E-012, 
 72.50,   2.57E-012, 
 72.60,   7.71E-012, 
 72.70,   1.22E-011, 
 72.80,   2.44E-011, 
 72.90,   2.31E-011, 
 73.00,   1.80E-011, 
 73.10,  -1.09E-011, 
