Apr 15, 2025  09:59:25 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 601 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 30, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 30.00,   4.73E-008, 
 30.10,   4.70E-008, 
 30.20,   3.02E-008, 
 30.30,   5.14E-009, 
 30.40,   1.47E-009, 
 30.50,   7.81E-010, 
 30.60,   8.34E-010, 
 30.70,   1.38E-009, 
 30.80,   2.19E-009, 
 30.90,   2.96E-009, 
 31.00,   4.02E-009, 
 31.10,   5.88E-009, 
 31.20,   8.69E-009, 
 31.30,   1.37E-008, 
 31.40,   2.95E-008, 
 31.50,   8.23E-008, 
 31.60,   3.72E-007, 
 31.70,   6.96E-007, 
 31.80,   8.81E-007, 
 31.90,   9.64E-007, 
 32.00,   9.89E-007, 
 32.10,   9.32E-007, 
 32.20,   4.70E-007, 
 32.30,   2.18E-008, 
 32.40,   3.38E-009, 
 32.50,   1.42E-009, 
 32.60,   7.89E-010, 
 32.70,   6.66E-010, 
 32.80,   8.00E-010, 
 32.90,   8.98E-010, 
 33.00,   9.51E-010, 
 33.10,   8.86E-010, 
 33.20,   8.14E-010, 
 33.30,   5.06E-010, 
 33.40,   2.20E-010, 
 33.50,   1.66E-010, 
 33.60,   4.85E-010, 
 33.70,   1.51E-009, 
 33.80,   2.59E-009, 
 33.90,   3.32E-009, 
 34.00,   3.69E-009, 
 34.10,   3.59E-009, 
 34.20,   2.71E-009, 
 34.30,   9.24E-010, 
 34.40,   1.16E-010, 
 34.50,  -1.59E-010, 
 34.60,  -2.44E-010, 
 34.70,  -2.54E-010, 
 34.80,  -2.83E-010, 
 34.90,  -3.42E-010, 
 35.00,  -3.37E-010, 
 35.10,  -2.58E-010, 
 35.20,  -2.64E-010, 
 35.30,  -2.20E-010, 
 35.40,  -1.32E-010, 
 35.50,  -7.97E-011, 
 35.60,   7.65E-011, 
 35.70,   3.12E-010, 
 35.80,   5.60E-010, 
 35.90,   7.51E-010, 
 36.00,   8.73E-010, 
 36.10,   9.27E-010, 
 36.20,   7.11E-010, 
 36.30,   2.67E-010, 
 36.40,   3.41E-011, 
 36.50,  -4.50E-011, 
 36.60,   3.73E-011, 
 36.70,   7.84E-011, 
 36.80,   1.10E-010, 
 36.90,   1.25E-010, 
 37.00,   1.92E-010, 
 37.10,   2.59E-010, 
 37.20,   2.42E-010, 
 37.30,   1.67E-010, 
 37.40,   1.29E-010, 
 37.50,   1.60E-010, 
 37.60,   2.45E-010, 
 37.70,   4.52E-010, 
 37.80,   6.52E-010, 
 37.90,   9.21E-010, 
 38.00,   1.09E-009, 
 38.10,   1.24E-009, 
 38.20,   1.34E-009, 
 38.30,   1.22E-009, 
 38.40,   1.55E-009, 
 38.50,   3.50E-009, 
 38.60,   1.83E-008, 
 38.70,   3.87E-008, 
 38.80,   4.97E-008, 
 38.90,   5.70E-008, 
 39.00,   5.98E-008, 
 39.10,   5.71E-008, 
 39.20,   2.75E-008, 
 39.30,   9.38E-009, 
 39.40,   1.30E-008, 
 39.50,   3.91E-008, 
 39.60,   1.75E-007, 
 39.70,   2.94E-007, 
 39.80,   3.63E-007, 
 39.90,   4.03E-007, 
 40.00,   4.20E-007, 
 40.10,   3.89E-007, 
 40.20,   1.41E-007, 
 40.30,   3.39E-008, 
 40.40,   6.04E-008, 
 40.50,   1.83E-007, 
 40.60,   7.14E-007, 
 40.70,   1.24E-006, 
 40.80,   1.57E-006, 
 40.90,   1.78E-006, 
 41.00,   1.95E-006, 
