Time,Channel A
(ms),(V)

-0.00058400,0.91921750
0.00005600,1.00894200
0.00069600,1.18869600
0.00133600,1.36845000
0.00197600,1.45817400
0.00261600,1.72795800
0.00325600,1.81768200
0.00389600,1.90740700
0.00453600,2.08716100
0.00517600,2.26691500
0.00581600,2.35663900
0.00645600,2.53639300
0.00709600,2.62611800
0.00773600,2.71614700
0.00837600,2.89590100
0.00901600,2.98562600
0.00965600,3.16538000
0.01029600,3.25510400
0.01093600,3.34513400
0.01157600,3.52458300
0.01221600,3.61461200
0.01285600,3.70433700
0.01349600,3.79436600
0.01413600,3.97381500
0.01477600,4.06384500
0.01541600,4.15356900
0.01605600,4.24359900
0.01669600,4.33332300
0.01733600,4.42304800
0.01797600,4.51307700
0.01861600,4.60280200
0.01925600,4.69252600
0.01989600,4.69252600
0.02053600,4.87228000
0.02117600,4.96231000
0.02181600,4.96231000
0.02245600,5.05203400
0.02309600,5.05203400
0.02373600,5.14175800
0.02437600,5.14175800
0.02501600,5.32151300
0.02565600,5.32151300
0.02629600,5.32151300
0.02693600,5.32151300
0.02757600,5.41154200
0.02821600,5.41154200
0.02885600,5.41154200
0.02949600,5.41154200
0.03013600,5.41154200
0.03077600,5.41154200
0.03141600,5.41154200
0.03205600,5.41154200
0.03269600,5.41154200
0.03333600,5.41154200
0.03397600,5.41154200
0.03461600,5.32151300
0.03525600,5.32151300
0.03589600,5.32151300
0.03653600,5.32151300
0.03717600,5.23178800
0.03781600,5.23178800
0.03845600,5.14175800
0.03909600,5.05203400
0.03973600,5.05203400
0.04037600,4.96231000
0.04101600,4.96231000
0.04165600,4.87228000
0.04229600,4.78255600
0.04293600,4.69252600
0.04357600,4.60280200
0.04421600,4.51307700
0.04485600,4.42304800
0.04549600,4.33332300
0.04613600,4.24359900
0.04677600,4.15356900
0.04741600,4.06384500
0.04805600,3.97381500
0.04869600,3.79436600
0.04933600,3.70433700
0.04997600,3.52458300
0.05061600,3.52458300
0.05125600,3.34513400
0.05189600,3.25510400
0.05253600,3.07535000
0.05317600,2.98562600
0.05381600,2.80587200
0.05445600,2.71614700
0.05509600,2.53639300
0.05573600,2.44666900
0.05637600,2.26691500
0.05701600,2.17719100
0.05765600,1.99743600
0.05829600,1.81768200
0.05893600,1.72795800
0.05957600,1.54820400
0.06021600,1.36845000
0.06085600,1.18869600
0.06149600,1.09897100
0.06213600,0.91921750
0.06277600,0.73946350
0.06341600,0.56001470
0.06405600,0.38056580
0.06469600,0.29053620
0.06533600,0.02105777
0.06597600,-0.06866664
0.06661600,-0.24842070
0.06725600,-0.42817470
0.06789600,-0.51789910
0.06853600,-0.69765310
0.06917600,-0.87740710
0.06981600,-1.05716100
0.07045600,-1.23661000
0.07109600,-1.41636400
0.07173600,-1.50608800
0.07237600,-1.68584300
0.07301600,-1.86559700
0.07365600,-2.04535100
0.07429600,-2.13507500
0.07493600,-2.22510500
0.07557600,-2.49458300
0.07621600,-2.58430700
0.07685600,-2.76406100
0.07749600,-2.85378600
0.07813600,-3.03354000
0.07877600,-3.12356900
0.07941600,-3.30301800
