Time,Channel A
(ms),(V)

-0.00027900,0.91921750
0.00036100,1.00894200
0.00100100,1.09897100
0.00164100,1.18869600
0.00228100,1.36845000
0.00292100,1.45817400
0.00356100,1.54820400
0.00420100,1.63792800
0.00484100,1.81768200
0.00548100,1.81768200
0.00612100,1.90740700
0.00676100,2.08716100
0.00740100,2.08716100
0.00804100,2.17719100
0.00868100,2.35663900
0.00932100,2.44666900
0.00996100,2.53639300
0.01060100,2.62611800
0.01124100,2.71614700
0.01188100,2.80587200
0.01252100,2.89590100
0.01316100,2.98562600
0.01380100,3.07535000
0.01444100,3.16538000
0.01508100,3.25510400
0.01572100,3.25510400
0.01636100,3.43485800
0.01700100,3.43485800
0.01764100,3.52458300
0.01828100,3.61461200
0.01892100,3.61461200
0.01956100,3.79436600
0.02020100,3.79436600
0.02084100,3.88409100
0.02148100,3.88409100
0.02212100,3.97381500
0.02276100,4.06384500
0.02340100,4.06384500
0.02404100,4.15356900
0.02468100,4.24359900
0.02532100,4.24359900
0.02596100,4.33332300
0.02660100,4.33332300
0.02724100,4.33332300
0.02788100,4.42304800
0.02852100,4.42304800
0.02916100,4.42304800
0.02980100,4.51307700
0.03044100,4.51307700
0.03108100,4.60280200
0.03172100,4.51307700
0.03236100,4.60280200
0.03300100,4.60280200
0.03364100,4.60280200
0.03428100,4.60280200
0.03492100,4.60280200
0.03556100,4.60280200
0.03620100,4.60280200
0.03684100,4.60280200
0.03748100,4.60280200
0.03812100,4.51307700
0.03876100,4.60280200
0.03940100,4.51307700
0.04004100,4.51307700
0.04068100,4.51307700
0.04132100,4.42304800
0.04196100,4.42304800
0.04260100,4.42304800
0.04324100,4.33332300
0.04388100,4.24359900
0.04452100,4.24359900
0.04516100,4.24359900
0.04580100,4.15356900
0.04644100,4.15356900
0.04708100,3.97381500
0.04772100,3.97381500
0.04836100,3.88409100
0.04900100,3.79436600
0.04964100,3.79436600
0.05028100,3.70433700
0.05092100,3.61461200
0.05156100,3.52458300
0.05220100,3.43485800
0.05284100,3.34513400
0.05348100,3.25510400
0.05412100,3.16538000
0.05476100,3.07535000
0.05540100,3.07535000
0.05604100,2.89590100
0.05668100,2.80587200
0.05732100,2.71614700
0.05796100,2.62611800
0.05860100,2.53639300
0.05924100,2.44666900
0.05988100,2.26691500
0.06052100,2.17719100
0.06116100,2.08716100
0.06180100,1.99743600
0.06244100,1.81768200
0.06308100,1.72795800
0.06372100,1.63792800
0.06436100,1.45817400
0.06500100,1.36845000
0.06564100,1.27872600
0.06628100,1.09897100
0.06692100,1.00894200
0.06756100,0.82949310
0.06820100,0.73946350
0.06884100,0.64973910
0.06948100,0.47029020
0.07012100,0.38056580
0.07076100,0.20081180
0.07140100,0.11108740
0.07204100,-0.06866664
0.07268100,-0.15869620
0.07332100,-0.33814510
0.07396100,-0.42817470
0.07460100,-0.60792870
0.07524100,-0.69765310
0.07588100,-0.78737750
0.07652100,-0.87740710
0.07716100,-1.05716100
0.07780100,-1.23661000
0.07844100,-1.32664000
0.07908100,-1.41636400
0.07972100,-1.59611800
0.08036100,-1.68584300
