time(s),reading 1,reading 2,omega 1 = reading 1 / 8,omega 2 = reading 2 / 8
49.07,2893,2226,361.625,278.25
46.94,2812,2110,351.5,263.75
44.92,2313,1799,289.125,224.875
39.48,2337,1860,292.125,232.5
49.39,3012,2326,376.5,290.75
35.61,2105,1685,263.125,210.625
68.34,4640,3185,580,398.125
57.31,3516,2574,439.5,321.75
56.59,3468,2571,433.5,321.375
47.58,2824,2155,353,269.375
