time(s),reading 1,reading 2,omega 1 = reading 1 / 8,omega 2 = reading 2 / 8
10.56,3498,2880,437.25,360
13.75,3529,3758,441.125,469.75
13.95,4305,3987,538.125,498.375
2.26,4146,3877,518.25,484.625
10.03,3129,2923,391.125,365.375
12.68,4319,4106,539.875,513.25
12.19,3927,3700,490.875,462.5
12.16,3502,3404,437.75,425.5
8.81,2647,2437,330.875,304.625
9.12,2501,2361,312.625,295.125
