time(s),reading,Omega = reading/8
10,5190,648.75
20,4926,615.75
30,4655,581.875
40,4458,557.25
50,4265,533.125
60,4077,509.625
70,3866,483.25
80,3684,460.5
90,3512,439
100,3341,417.625
110,3183,397.875
120,3027,378.375
