Frequency,Channel A
(kHz),(dBu)

0.00000000,-29.56661000
0.09536743,-36.22749000
0.19073486,-51.18241000
0.28610229,-55.55437000
0.38146973,-56.41638000
0.47683716,-67.26661000
0.57220459,-56.51885000
0.66757202,-57.01132000
0.76293945,-66.79389000
0.85830688,-71.27306000
0.95367432,-69.74467000
1.04904175,-59.33673000
1.14440918,-57.53687000
1.23977661,-57.54082000
1.33514404,-65.41827000
1.43051147,-69.26443000
1.52587891,-69.60965000
1.62124634,-69.33455000
1.71661377,-59.35604000
1.81198120,-57.54698000
1.90734863,-62.32279000
2.00271606,-66.27648000
2.09808350,-68.84414000
2.19345093,-59.73821000
2.28881836,-59.13949000
2.38418579,-62.55533000
2.47955322,-73.68494000
2.57492065,-67.41231000
2.67028809,-60.85883000
2.76565552,-57.87542000
2.86102295,-58.78485000
2.95639038,-66.47669000
3.05175781,-65.01082000
3.14712524,-76.04552000
3.24249268,-65.86972000
3.33786011,-65.42761000
3.43322754,-60.32356000
3.52859497,-58.40690000
3.62396240,-62.27097000
3.71932983,-69.43950000
3.81469727,-59.56404000
3.91006470,-58.71304000
4.00543213,-65.51904000
4.10079956,-67.59641000
4.19616699,-58.11209000
4.29153442,-57.53124000
4.38690186,-66.22663000
4.48226929,-67.27775000
4.57763672,-62.77177000
4.67300415,-60.14237000
4.76837158,-56.24676000
4.86373901,-54.29382000
4.95910645,-56.21109000
5.05447388,-59.76974000
5.14984131,-66.53461000
5.24520874,-72.26654000
5.34057617,-58.27427000
5.43594360,-54.13002000
5.53131104,-54.10927000
5.62667847,-59.85427000
5.72204590,-59.28528000
5.81741333,-72.37896000
5.91278076,-72.86157000
6.00814819,-53.55378000
6.10351563,-59.95496000
6.19888306,-55.63037000
6.29425049,-48.17794000
6.38961792,-45.93527000
6.48498535,-26.69216000
6.58035278,-11.00323000
6.67572021,-4.24231700
6.77108765,-5.10620200
6.86645508,-13.85707000
6.96182251,-31.35492000
7.05718994,-50.42854000
7.15255737,-49.07047000
7.24792480,-51.94442000
7.34329224,-54.49416000
7.43865967,-52.98684000
7.53402710,-61.10257000
7.62939453,-74.59037000
7.72476196,-59.70428000
7.82012939,-54.88605000
7.91549683,-55.20467000
8.01086426,-45.57613000
8.10623169,-36.29296000
8.20159912,-22.59829000
8.29696655,-14.31427000
8.39233398,-12.52765000
8.48770142,-17.11493000
8.58306885,-27.93853000
8.67843628,-41.52173000
8.77380371,-48.50211000
8.86917114,-52.57396000
8.96453857,-57.35102000
9.05990601,-59.23771000
9.15527344,-75.32971000
9.25064087,-58.45141000
9.34600830,-60.04867000
9.44137573,-53.34500000
9.53674316,-53.85344000
9.63211060,-53.94581000
9.72747803,-58.41154000
9.82284546,-61.93174000
9.91821289,-61.68522000
10.01358032,-63.06862000
10.10894775,-75.57354000
10.20431519,-70.49928000
10.29968262,-72.02309000
10.39505005,-73.59598000
10.49041748,-59.00275000
10.58578491,-56.92907000
10.68115234,-55.97805000
10.77651978,-54.40780000
10.87188721,-59.28238000
10.96725464,-68.17260000
11.06262207,-57.96343000
11.15798950,-60.56614000
11.25335693,-70.51593000
11.34872437,-65.15559000
11.44409180,-76.15074000
11.53945923,-67.66043000
11.63482666,-64.58798000
11.73019409,-70.15370000
11.82556152,-81.25998000
11.92092896,-88.70019000
12.01629639,-73.06499000
12.11166382,-64.95831000
12.20703125,-62.82814000
12.30239868,-63.61086000
12.39776611,-64.73361000
12.49313354,-68.82851000
12.58850098,-63.55703000
