Apr 15, 2025  02:24:25 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.30,   8.79E-009, 
 20.40,   2.64E-009, 
 20.50,   1.55E-009, 
 20.60,   1.31E-009, 
 20.70,   1.96E-009, 
 20.80,   2.67E-009, 
 20.90,   3.00E-009, 
 21.00,   3.35E-009, 
 21.10,   3.37E-009, 
 21.20,   3.36E-009, 
 21.30,   2.17E-009, 
 21.40,   1.33E-009, 
 21.50,   1.14E-009, 
 21.60,   1.32E-009, 
 21.70,   2.39E-009, 
 21.80,   3.16E-009, 
 21.90,   3.58E-009, 
 22.00,   3.94E-009, 
 22.10,   3.83E-009, 
 22.20,   3.26E-009, 
 22.30,   1.48E-009, 
 22.40,   6.90E-010, 
 22.50,   4.07E-010, 
 22.60,   2.60E-010, 
 22.70,   1.12E-010, 
 22.80,   8.48E-011, 
 22.90,   4.43E-011, 
 23.00,   7.33E-011, 
 23.10,   1.05E-010, 
 23.20,   1.20E-010, 
 23.30,   1.37E-010, 
 23.40,   3.96E-010, 
 23.50,   8.21E-010, 
 23.60,   3.05E-009, 
 23.70,   1.22E-008, 
 23.80,   1.84E-008, 
 23.90,   2.05E-008, 
 24.00,   2.11E-008, 
 24.10,   2.07E-008, 
 24.20,   1.41E-008, 
 24.30,   4.07E-009, 
 24.40,   2.81E-009, 
 24.50,   4.64E-009, 
 24.60,   2.03E-008, 
 24.70,   6.00E-008, 
 24.80,   7.54E-008, 
 24.90,   8.38E-008, 
 25.00,   8.45E-008, 
 25.10,   8.32E-008, 
 25.20,   5.15E-008, 
 25.30,   1.32E-008, 
 25.40,   1.94E-008, 
 25.50,   4.64E-008, 
 25.60,   1.88E-007, 
 25.70,   4.54E-007, 
 25.80,   5.54E-007, 
 25.90,   6.17E-007, 
 26.00,   6.36E-007, 
 26.10,   6.11E-007, 
 26.20,   3.79E-007, 
 26.30,   4.88E-008, 
 26.40,   6.72E-008, 
 26.50,   1.60E-007, 
 26.60,   5.58E-007, 
 26.70,   1.58E-006, 
 26.80,   2.02E-006, 
 26.90,   2.22E-006, 
 27.00,   2.23E-006, 
 27.10,   2.23E-006, 
 27.20,   1.58E-006, 
 27.30,   5.10E-007, 
 27.40,   1.11E-006, 
 27.50,   2.58E-006, 
 27.60,   8.48E-006, 
 27.70,   2.24E-005, 
 27.80,   2.86E-005, 
 27.90,   3.29E-005, 
 28.00,   3.30E-005, 
 28.10,   3.24E-005, 
 28.20,   1.53E-005, 
 28.30,   3.41E-007, 
 28.40,   9.11E-008, 
 28.50,   1.48E-007, 
 28.60,   5.29E-007, 
 28.70,   1.38E-006, 
 28.80,   1.77E-006, 
 28.90,   2.05E-006, 
 29.00,   1.98E-006, 
 29.10,   1.90E-006, 
 29.20,   8.65E-007, 
 29.30,   5.04E-008, 
 29.40,   2.86E-008, 
 29.50,   6.56E-008, 
 29.60,   2.66E-007, 
 29.70,   5.36E-007, 
 29.80,   6.18E-007, 
 29.90,   7.32E-007, 
 30.00,   7.29E-007, 
 30.10,   7.07E-007, 
 30.20,   2.35E-007, 
 30.30,   2.02E-008, 
 30.40,   2.59E-008, 
 30.50,   6.25E-008, 
 30.60,   2.70E-007, 
 30.70,   6.06E-007, 
 30.80,   7.09E-007, 
 30.90,   7.84E-007, 
 31.00,   7.25E-007, 
 31.10,   6.79E-007, 
