Apr 15, 2025  11:04:00 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.30,   6.47E-010, 
 20.40,   3.41E-010, 
 20.50,   1.75E-010, 
 20.60,   9.19E-011, 
 20.70,   6.75E-011, 
 20.80,   5.53E-011, 
 20.90,   5.53E-011, 
 21.00,   4.31E-011, 
 21.10,   2.57E-011, 
 21.20,   2.06E-011, 
 21.30,  -3.21E-012, 
 21.40,   5.78E-012, 
 21.50,   8.35E-012, 
 21.60,   4.56E-011, 
 21.70,   1.39E-010, 
 21.80,   2.56E-010, 
 21.90,   3.73E-010, 
 22.00,   3.80E-010, 
 22.10,   3.64E-010, 
 22.20,   2.67E-010, 
 22.30,   1.35E-010, 
 22.40,   7.01E-011, 
 22.50,   5.91E-011, 
 22.60,   4.95E-011, 
 22.70,   3.21E-011, 
 22.80,   3.66E-011, 
 22.90,   1.86E-011, 
 23.00,   7.07E-012, 
 23.10,   1.93E-012, 
 23.20,  -2.96E-011, 
 23.30,  -4.05E-011, 
 23.40,  -2.06E-011, 
 23.50,  -2.57E-011, 
 23.60,  -7.71E-012, 
 23.70,   1.29E-011, 
 23.80,   2.31E-011, 
 23.90,   4.05E-011, 
 24.00,   7.20E-011, 
 24.10,   1.01E-010, 
 24.20,   6.49E-011, 
 24.30,   3.79E-011, 
 24.40,   1.80E-011, 
 24.50,   2.19E-011, 
 24.60,   5.78E-011, 
 24.70,   1.45E-010, 
 24.80,   2.95E-010, 
 24.90,   4.19E-010, 
 25.00,   4.47E-010, 
 25.10,   4.38E-010, 
 25.20,   3.50E-010, 
 25.30,   1.77E-010, 
 25.40,   1.47E-010, 
 25.50,   1.90E-010, 
 25.60,   5.63E-010, 
 25.70,   1.29E-009, 
 25.80,   2.13E-009, 
 25.90,   2.70E-009, 
 26.00,   2.89E-009, 
 26.10,   2.69E-009, 
 26.20,   2.14E-009, 
 26.30,   1.14E-009, 
 26.40,   6.95E-010, 
 26.50,   6.28E-010, 
 26.60,   1.34E-009, 
 26.70,   4.38E-009, 
 26.80,   7.84E-009, 
 26.90,   9.49E-009, 
 27.00,   9.73E-009, 
 27.10,   9.59E-009, 
 27.20,   8.40E-009, 
 27.30,   6.92E-009, 
 27.40,   1.31E-008, 
 27.50,   3.83E-008, 
 27.60,   1.97E-007, 
 27.70,   3.41E-007, 
 27.80,   4.09E-007, 
 27.90,   4.01E-007, 
 28.00,   3.78E-007, 
 28.10,   3.16E-007, 
 28.20,   1.15E-007, 
 28.30,   7.09E-009, 
 28.40,   2.22E-009, 
 28.50,   1.48E-009, 
 28.60,   2.67E-009, 
 28.70,   7.00E-009, 
 28.80,   1.08E-008, 
 28.90,   1.22E-008, 
 29.00,   1.19E-008, 
 29.10,   1.04E-008, 
 29.20,   6.59E-009, 
 29.30,   2.70E-009, 
 29.40,   2.25E-009, 
 29.50,   4.15E-009, 
 29.60,   2.43E-008, 
 29.70,   4.78E-008, 
 29.80,   5.98E-008, 
 29.90,   6.00E-008, 
 30.00,   5.59E-008, 
 30.10,   4.60E-008, 
 30.20,   1.81E-008, 
 30.30,   3.10E-009, 
 30.40,   1.26E-009, 
 30.50,   7.51E-010, 
 30.60,   6.95E-010, 
 30.70,   1.04E-009, 
 30.80,   1.43E-009, 
 30.90,   1.81E-009, 
 31.00,   1.90E-009, 
 31.10,   1.93E-009, 
 31.20,   1.73E-009, 
 31.30,   1.44E-009, 
 31.40,   1.97E-009, 
 31.50,   4.40E-009, 
 31.60,   2.60E-008, 
 31.70,   4.88E-008, 
 31.80,   6.08E-008, 
 31.90,   6.10E-008, 
 32.00,   5.71E-008, 
 32.10,   4.54E-008, 
 32.20,   1.60E-008, 
 32.30,   2.92E-009, 
 32.40,   1.19E-009, 
 32.50,   6.52E-010, 
 32.60,   3.30E-010, 
 32.70,   1.86E-010, 
 32.80,   1.60E-010, 
 32.90,   1.38E-010, 
 33.00,   1.73E-010, 
 33.10,   1.50E-010, 
 33.20,   1.02E-010, 
 33.30,   3.79E-011, 
 33.40,   9.00E-012, 
 33.50,   1.86E-011, 
 33.60,   3.86E-012, 
 33.70,   6.88E-011, 
 33.80,   1.63E-010, 
 33.90,   1.86E-010, 
 34.00,   2.19E-010, 
 34.10,   2.20E-010, 
 34.20,   1.76E-010, 
 34.30,   8.61E-011, 
 34.40,   3.98E-011, 
 34.50,   1.35E-011, 
 34.60,   7.07E-012, 
 34.70,   6.56E-011, 
 34.80,   9.90E-011, 
 34.90,   8.61E-011, 
 35.00,   1.07E-010, 
 35.10,   1.10E-010, 
 35.20,   9.06E-011, 
 35.30,   5.78E-011, 
 35.40,   2.25E-011, 
 35.50,   5.14E-011, 
 35.60,   1.05E-010, 
 35.70,   2.99E-010, 
 35.80,   4.76E-010, 
 35.90,   5.54E-010, 
 36.00,   6.14E-010, 
 36.10,   5.46E-010, 
 36.20,   3.70E-010, 
 36.30,   1.52E-010, 
 36.40,   5.85E-011, 
 36.50,   4.82E-011, 
 36.60,   4.18E-011, 
 36.70,   1.27E-010, 
 36.80,   2.02E-010, 
 36.90,   2.41E-010, 
 37.00,   2.51E-010, 
 37.10,   3.44E-010, 
 37.20,   1.88E-010, 
 37.30,   1.13E-010, 
 37.40,   1.16E-010, 
 37.50,   1.09E-010, 
 37.60,   1.83E-010, 
 37.70,   4.00E-010, 
 37.80,   5.98E-010, 
 37.90,   7.56E-010, 
 38.00,   8.66E-010, 
 38.10,   8.32E-010, 
 38.20,   6.63E-010, 
 38.30,   4.32E-010, 
 38.40,   2.85E-010, 
 38.50,   3.99E-010, 
 38.60,   8.61E-010, 
 38.70,   2.54E-009, 
 38.80,   4.72E-009, 
 38.90,   6.01E-009, 
 39.00,   6.65E-009, 
 39.10,   6.14E-009, 
 39.20,   3.92E-009, 
 39.30,   1.69E-009, 
 39.40,   1.01E-009, 
 39.50,   1.05E-009, 
 39.60,   2.85E-009, 
 39.70,   6.29E-009, 
 39.80,   8.95E-009, 
 39.90,   9.88E-009, 
 40.00,   9.75E-009, 
 40.10,   7.72E-009, 
 40.20,   3.50E-009, 
 40.30,   1.49E-009, 
 40.40,   9.34E-010, 
 40.50,   8.55E-010, 
 40.60,   1.77E-009, 
 40.70,   6.23E-009, 
 40.80,   1.14E-008, 
 40.90,   1.37E-008, 
 41.00,   1.47E-008, 
 41.10,   1.34E-008, 
 41.20,   7.94E-009, 
 41.30,   2.63E-009, 
 41.40,   1.18E-009, 
 41.50,   8.23E-010, 
 41.60,   1.02E-009, 
 41.70,   2.67E-009, 
 41.80,   4.85E-009, 
 41.90,   6.33E-009, 
 42.00,   6.91E-009, 
 42.10,   6.54E-009, 
 42.20,   4.26E-009, 
 42.30,   1.80E-009, 
 42.40,   9.40E-010, 
 42.50,   6.72E-010, 
 42.60,   9.59E-010, 
 42.70,   2.51E-009, 
 42.80,   4.44E-009, 
 42.90,   5.77E-009, 
 43.00,   6.58E-009, 
 43.10,   6.42E-009, 
 43.20,   4.63E-009, 
 43.30,   2.60E-009, 
 43.40,   2.36E-009, 
 43.50,   3.85E-009, 
 43.60,   1.86E-008, 
 43.70,   3.95E-008, 
 43.80,   4.92E-008, 
 43.90,   5.15E-008, 
 44.00,   5.22E-008, 
 44.10,   3.94E-008, 
 44.20,   1.24E-008, 
 44.30,   2.60E-009, 
 44.40,   1.11E-009, 
 44.50,   6.19E-010, 
 44.60,   4.89E-010, 
 44.70,   6.12E-010, 
 44.80,   8.73E-010, 
 44.90,   1.06E-009, 
 45.00,   1.17E-009, 
 45.10,   1.15E-009, 
 45.20,   8.59E-010, 
 45.30,   4.72E-010, 
 45.40,   2.35E-010, 
 45.50,   1.21E-010, 
 45.60,   9.96E-011, 
 45.70,   1.49E-010, 
 45.80,   2.24E-010, 
 45.90,   3.37E-010, 
 46.00,   3.47E-010, 
 46.10,   2.53E-010, 
 46.20,   2.15E-010, 
 46.30,   1.56E-010, 
 46.40,   1.08E-010, 
 46.50,   1.23E-010, 
 46.60,   8.42E-011, 
 46.70,   4.43E-011, 
 46.80,   8.42E-011, 
 46.90,   1.05E-010, 
 47.00,   9.90E-011, 
 47.10,   1.23E-010, 
 47.20,   1.05E-010, 
 47.30,   6.81E-011, 
 47.40,   3.21E-011, 
 47.50,   4.43E-011, 
 47.60,   6.88E-011, 
 47.70,   1.15E-010, 
 47.80,   1.34E-010, 
 47.90,   1.42E-010, 
 48.00,   1.47E-010, 
 48.10,   1.09E-010, 
 48.20,   8.74E-011, 
 48.30,   6.17E-011, 
 48.40,   3.92E-011, 
 48.50,   4.69E-011, 
 48.60,   3.53E-011, 
 48.70,   4.50E-011, 
 48.80,   7.20E-011, 
 48.90,   6.75E-011, 
 49.00,   1.15E-010, 
 49.10,   9.96E-011, 
 49.20,   3.92E-011, 
 49.30,   4.37E-011, 
 49.40,   3.28E-011, 
 49.50,   7.58E-011, 
 49.60,   6.81E-011, 
 49.70,   1.87E-010, 
 49.80,   4.58E-010, 
 49.90,   5.43E-010, 
 50.00,   6.27E-010, 
 50.10,   6.34E-010, 
 50.20,   5.04E-010, 
 50.30,   2.12E-010, 
 50.40,   1.34E-010, 
 50.50,   1.04E-010, 
 50.60,   9.51E-011, 
 50.70,   1.70E-010, 
 50.80,   3.76E-010, 
 50.90,   5.44E-010, 
 51.00,   6.59E-010, 
 51.10,   6.49E-010, 
 51.20,   4.93E-010, 
 51.30,   2.97E-010, 
 51.40,   1.44E-010, 
 51.50,   9.19E-011, 
 51.60,   1.09E-010, 
 51.70,   1.71E-010, 
 51.80,   2.42E-010, 
 51.90,   3.73E-010, 
 52.00,   4.20E-010, 
 52.10,   4.35E-010, 
 52.20,   3.84E-010, 
 52.30,   1.88E-010, 
 52.40,   1.35E-010, 
 52.50,   8.35E-011, 
 52.60,   6.04E-011, 
 52.70,   1.72E-010, 
 52.80,   4.35E-010, 
 52.90,   6.37E-010, 
 53.00,   7.90E-010, 
 53.10,   8.53E-010, 
 53.20,   7.29E-010, 
 53.30,   4.38E-010, 
 53.40,   2.35E-010, 
 53.50,   1.49E-010, 
 53.60,   1.87E-010, 
 53.70,   4.15E-010, 
 53.80,   7.43E-010, 
 53.90,   1.09E-009, 
 54.00,   1.39E-009, 
 54.10,   1.51E-009, 
 54.20,   1.32E-009, 
 54.30,   8.13E-010, 
 54.40,   4.69E-010, 
 54.50,   3.61E-010, 
 54.60,   4.38E-010, 
 54.70,   1.07E-009, 
 54.80,   2.51E-009, 
 54.90,   3.96E-009, 
 55.00,   4.87E-009, 
 55.10,   5.17E-009, 
 55.20,   4.08E-009, 
 55.30,   2.13E-009, 
 55.40,   1.11E-009, 
 55.50,   7.99E-010, 
 55.60,   9.72E-010, 
 55.70,   2.92E-009, 
 55.80,   8.06E-009, 
 55.90,   1.23E-008, 
 56.00,   1.38E-008, 
 56.10,   1.41E-008, 
 56.20,   9.87E-009, 
 56.30,   3.96E-009, 
 56.40,   1.42E-009, 
 56.50,   7.28E-010, 
 56.60,   4.80E-010, 
 56.70,   4.33E-010, 
 56.80,   4.92E-010, 
 56.90,   6.25E-010, 
 57.00,   6.94E-010, 
 57.10,   7.88E-010, 
 57.20,   7.30E-010, 
 57.30,   4.70E-010, 
 57.40,   2.33E-010, 
 57.50,   1.40E-010, 
 57.60,   1.59E-010, 
 57.70,   2.31E-010, 
 57.80,   4.43E-010, 
 57.90,   6.11E-010, 
 58.00,   7.05E-010, 
 58.10,   7.69E-010, 
 58.20,   6.22E-010, 
 58.30,   3.93E-010, 
 58.40,   1.54E-010, 
 58.50,   8.93E-011, 
 58.60,   4.69E-011, 
 58.70,   3.47E-011, 
 58.80,   3.02E-011, 
 58.90,   4.95E-011, 
 59.00,   8.03E-011, 
 59.10,   9.90E-011, 
 59.20,   6.11E-011, 
 59.30,   2.44E-011, 
 59.40,   1.09E-011, 
 59.50,   3.08E-011, 
