Apr 15, 2025  11:24:02 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 851 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 55, amu 
Scan Stop Mass, 140, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 55.00,   2.76E-010, 
 55.10,   2.22E-010, 
 55.20,   2.02E-010, 
 55.30,   1.25E-010, 
 55.40,   7.97E-011, 
 55.50,   1.86E-011, 
 55.60,  -1.09E-011, 
 55.70,   7.46E-011, 
 55.80,   2.50E-010, 
 55.90,   4.07E-010, 
 56.00,   5.13E-010, 
 56.10,   5.51E-010, 
 56.20,   4.20E-010, 
 56.30,   1.77E-010, 
 56.40,   8.48E-011, 
 56.50,   4.11E-011, 
 56.60,   6.43E-012, 
 56.70,   1.80E-011, 
 56.80,   7.58E-011, 
 56.90,   6.68E-011, 
 57.00,   1.07E-010, 
 57.10,   1.04E-010, 
 57.20,   9.83E-011, 
 57.30,   6.23E-011, 
 57.40,   3.47E-011, 
 57.50,   5.14E-011, 
 57.60,   4.37E-011, 
 57.70,   6.17E-011, 
 57.80,   1.12E-010, 
 57.90,   1.52E-010, 
 58.00,   1.48E-010, 
 58.10,   1.18E-010, 
 58.20,   1.05E-010, 
 58.30,   4.69E-011, 
 58.40,  -9.00E-012, 
 58.50,  -2.12E-011, 
 58.60,  -4.88E-011, 
 58.70,  -6.68E-011, 
 58.80,  -5.21E-011, 
 58.90,  -2.63E-011, 
 59.00,  -2.57E-012, 
 59.10,  -1.74E-011, 
 59.20,  -1.48E-011, 
 59.30,  -5.78E-011, 
 59.40,  -7.26E-011, 
 59.50,  -6.17E-011, 
 59.60,  -7.39E-011, 
 59.70,  -3.02E-011, 
 59.80,  -3.28E-011, 
 59.90,  -4.11E-011, 
 60.00,  -6.62E-011, 
 60.10,  -3.92E-011, 
 60.20,  -4.31E-011, 
 60.30,  -6.56E-011, 
 60.40,  -6.81E-011, 
 60.50,  -6.62E-011, 
 60.60,  -7.65E-011, 
 60.70,  -6.75E-011, 
 60.80,  -5.98E-011, 
 60.90,  -8.74E-011, 
 61.00,  -1.18E-010, 
 61.10,  -1.09E-010, 
 61.20,  -1.02E-010, 
 61.30,  -1.19E-010, 
 61.40,  -1.14E-010, 
 61.50,  -6.11E-011, 
 61.60,  -3.02E-011, 
 61.70,   3.21E-012, 
 61.80,   4.11E-011, 
 61.90,   1.07E-010, 
 62.00,   1.11E-010, 
 62.10,   9.45E-011, 
 62.20,   2.44E-011, 
 62.30,  -4.63E-011, 
 62.40,  -5.66E-011, 
 62.50,  -4.76E-011, 
 62.60,  -5.14E-012, 
 62.70,   2.06E-011, 
 62.80,   5.01E-011, 
 62.90,   1.07E-010, 
 63.00,   2.51E-010, 
 63.10,   2.89E-010, 
 63.20,   3.05E-010, 
 63.30,   3.73E-010, 
 63.40,   4.64E-010, 
 63.50,   7.50E-010, 
 63.60,   1.51E-009, 
 63.70,   2.84E-009, 
 63.80,   4.29E-009, 
 63.90,   5.68E-009, 
 64.00,   8.13E-009, 
 64.10,   2.05E-008, 
 64.20,   3.63E-008, 
 64.30,   4.49E-008, 
 64.40,   4.74E-008, 
 64.50,   4.34E-008, 
 64.60,   2.57E-008, 
 64.70,   9.81E-009, 
 64.80,   8.21E-009, 
 64.90,   9.38E-009, 
 65.00,   1.11E-008, 
 65.10,   1.87E-008, 
 65.20,   2.88E-008, 
 65.30,   3.55E-008, 
 65.40,   3.89E-008, 
 65.50,   3.85E-008, 
 65.60,   3.54E-008, 
 65.70,   3.51E-008, 
 65.80,   4.27E-008, 
 65.90,   4.60E-008, 
 66.00,   4.19E-008, 
 66.10,   2.35E-008, 
 66.20,   5.87E-009, 
 66.30,   1.92E-009, 
 66.40,   1.25E-009, 
 66.50,   1.37E-009, 
 66.60,   4.05E-009, 
 66.70,   1.12E-008, 
 66.80,   1.63E-008, 
 66.90,   1.83E-008, 
 67.00,   1.67E-008, 
 67.10,   9.93E-009, 
 67.20,   3.47E-009, 
 67.30,   1.45E-009, 
 67.40,   9.67E-010, 
 67.50,   1.06E-009, 
 67.60,   3.03E-009, 
 67.70,   8.66E-009, 
 67.80,   1.30E-008, 
 67.90,   1.50E-008, 
 68.00,   1.38E-008, 
 68.10,   8.47E-009, 
 68.20,   3.15E-009, 
 68.30,   1.06E-009, 
 68.40,   4.67E-010, 
 68.50,   2.06E-010, 
 68.60,   6.94E-011, 
 68.70,   1.67E-011, 
 68.80,   6.43E-013, 
 68.90,   7.71E-012, 
 69.00,   2.44E-011, 
 69.10,   2.70E-011, 
 69.20,  -1.93E-012, 
 69.30,  -2.44E-011, 
 69.40,  -6.81E-011, 
 69.50,  -9.51E-011, 
 69.60,  -7.78E-011, 
 69.70,  -1.14E-010, 
 69.80,  -7.46E-011, 
 69.90,  -5.66E-011, 
 70.00,  -3.21E-011, 
 70.10,  -2.96E-011, 
 70.20,  -4.76E-011, 
 70.30,  -6.88E-011, 
 70.40,  -6.11E-011, 
 70.50,  -6.56E-011, 
 70.60,  -8.87E-011, 
 70.70,  -7.71E-011, 
 70.80,  -5.78E-011, 
 70.90,  -6.49E-011, 
 71.00,  -9.83E-011, 
 71.10,  -9.96E-011, 
 71.20,  -1.00E-010, 
 71.30,  -1.16E-010, 
 71.40,  -1.10E-010, 
 71.50,  -9.32E-011, 
 71.60,  -1.05E-010, 
 71.70,  -1.37E-010, 
 71.80,  -1.02E-010, 
 71.90,  -7.58E-011, 
 72.00,  -4.50E-011, 
 72.10,  -8.48E-011, 
 72.20,  -8.03E-011, 
 72.30,  -7.58E-011, 
 72.40,  -8.35E-011, 
 72.50,  -8.93E-011, 
 72.60,  -9.19E-011, 
 72.70,  -8.93E-011, 
 72.80,  -1.02E-010, 
 72.90,  -1.18E-010, 
 73.00,  -1.07E-010, 
