Apr 15, 2025  12:33:27 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 20, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   3.77E-009, 
 20.10,   3.38E-009, 
 20.20,   2.90E-009, 
 20.30,   1.54E-009, 
 20.40,   8.10E-010, 
 20.50,   5.10E-010, 
 20.60,   3.53E-010, 
 20.70,   2.53E-010, 
 20.80,   1.30E-010, 
 20.90,   8.10E-011, 
 21.00,   4.31E-011, 
 21.10,   5.01E-011, 
 21.20,   3.47E-011, 
 21.30,   3.34E-011, 
 21.40,   2.57E-012, 
 21.50,   1.29E-012, 
 21.60,   7.13E-011, 
 21.70,   2.72E-010, 
 21.80,   4.15E-010, 
 21.90,   4.86E-010, 
 22.00,   5.24E-010, 
 22.10,   5.24E-010, 
 22.20,   4.49E-010, 
 22.30,   1.95E-010, 
 22.40,   6.23E-011, 
 22.50,   3.28E-011, 
 22.60,   9.64E-012, 
 22.70,   1.93E-012, 
 22.80,  -3.86E-011, 
 22.90,  -3.60E-011, 
 23.00,  -3.21E-011, 
 23.10,  -2.44E-011, 
 23.20,  -1.29E-012, 
 23.30,  -3.21E-012, 
 23.40,   2.31E-011, 
 23.50,   1.15E-010, 
 23.60,   5.03E-010, 
 23.70,   1.50E-009, 
 23.80,   2.61E-009, 
 23.90,   3.13E-009, 
 24.00,   3.40E-009, 
 24.10,   3.25E-009, 
 24.20,   2.65E-009, 
 24.30,   1.35E-009, 
 24.40,   8.17E-010, 
 24.50,   8.70E-010, 
 24.60,   2.41E-009, 
 24.70,   7.88E-009, 
 24.80,   1.29E-008, 
 24.90,   1.35E-008, 
 25.00,   1.39E-008, 
 25.10,   1.30E-008, 
 25.20,   9.92E-009, 
 25.30,   4.38E-009, 
 25.40,   4.24E-009, 
 25.50,   1.06E-008, 
 25.60,   4.73E-008, 
 25.70,   1.11E-007, 
 25.80,   1.42E-007, 
 25.90,   1.39E-007, 
 26.00,   1.40E-007, 
 26.10,   1.28E-007, 
 26.20,   8.06E-008, 
 26.30,   1.67E-008, 
 26.40,   2.01E-008, 
 26.50,   5.45E-008, 
 26.60,   2.09E-007, 
 26.70,   4.84E-007, 
 26.80,   6.48E-007, 
 26.90,   6.45E-007, 
 27.00,   6.39E-007, 
 27.10,   5.96E-007, 
 27.20,   3.59E-007, 
 27.30,   4.48E-008, 
 27.40,   5.57E-008, 
 27.50,   1.76E-007, 
 27.60,   6.61E-007, 
 27.70,   1.33E-006, 
 27.80,   1.61E-006, 
 27.90,   1.59E-006, 
 28.00,   1.52E-006, 
 28.10,   1.39E-006, 
 28.20,   5.95E-007, 
 28.30,   2.93E-008, 
 28.40,   1.20E-008, 
 28.50,   2.63E-008, 
 28.60,   1.01E-007, 
 28.70,   2.54E-007, 
 28.80,   3.45E-007, 
 28.90,   3.49E-007, 
 29.00,   3.54E-007, 
 29.10,   3.20E-007, 
 29.20,   2.00E-007, 
 29.30,   1.97E-008, 
 29.40,   3.52E-009, 
 29.50,   2.33E-009, 
