Apr 15, 2025  12:47:16 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 20, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   1.49E-009, 
 20.10,   1.42E-009, 
 20.20,   1.20E-009, 
 20.30,   7.34E-010, 
 20.40,   3.86E-010, 
 20.50,   2.01E-010, 
 20.60,   1.38E-010, 
 20.70,   1.23E-010, 
 20.80,   1.12E-010, 
 20.90,   1.09E-010, 
 21.00,   9.83E-011, 
 21.10,   8.23E-011, 
 21.20,   6.81E-011, 
 21.30,   4.05E-011, 
 21.40,   6.30E-011, 
 21.50,   6.56E-011, 
 21.60,   1.03E-010, 
 21.70,   1.65E-010, 
 21.80,   2.24E-010, 
 21.90,   3.02E-010, 
 22.00,   3.33E-010, 
 22.10,   3.75E-010, 
 22.20,   3.12E-010, 
 22.30,   1.87E-010, 
 22.40,   1.34E-010, 
 22.50,   8.87E-011, 
 22.60,   5.14E-011, 
 22.70,   7.97E-011, 
 22.80,   7.65E-011, 
 22.90,   5.98E-011, 
 23.00,   4.50E-011, 
 23.10,   4.82E-011, 
 23.20,   4.69E-011, 
 23.30,   8.80E-011, 
 23.40,   1.09E-010, 
 23.50,   1.02E-010, 
 23.60,   8.03E-011, 
 23.70,   1.18E-010, 
 23.80,   1.66E-010, 
 23.90,   1.86E-010, 
 24.00,   1.94E-010, 
 24.10,   1.77E-010, 
 24.20,   1.74E-010, 
 24.30,   1.50E-010, 
 24.40,   1.30E-010, 
 24.50,   5.14E-011, 
 24.60,   1.21E-010, 
 24.70,   3.19E-010, 
 24.80,   5.15E-010, 
 24.90,   6.33E-010, 
 25.00,   7.09E-010, 
 25.10,   7.10E-010, 
 25.20,   5.91E-010, 
 25.30,   3.61E-010, 
 25.40,   2.59E-010, 
 25.50,   3.43E-010, 
 25.60,   8.30E-010, 
 25.70,   2.41E-009, 
 25.80,   4.13E-009, 
 25.90,   5.07E-009, 
 26.00,   5.12E-009, 
 26.10,   4.84E-009, 
 26.20,   3.64E-009, 
 26.30,   1.73E-009, 
 26.40,   1.12E-009, 
 26.50,   1.13E-009, 
 26.60,   2.86E-009, 
 26.70,   1.14E-008, 
 26.80,   1.90E-008, 
 26.90,   2.11E-008, 
 27.00,   2.10E-008, 
 27.10,   1.98E-008, 
 27.20,   1.47E-008, 
 27.30,   9.05E-009, 
 27.40,   1.64E-008, 
 27.50,   4.56E-008, 
 27.60,   2.32E-007, 
 27.70,   4.13E-007, 
 27.80,   5.11E-007, 
 27.90,   4.91E-007, 
 28.00,   4.66E-007, 
 28.10,   3.85E-007, 
 28.20,   1.25E-007, 
 28.30,   6.93E-009, 
 28.40,   2.35E-009, 
 28.50,   1.66E-009, 
 28.60,   3.04E-009, 
 28.70,   9.16E-009, 
 28.80,   1.46E-008, 
 28.90,   1.62E-008, 
 29.00,   1.59E-008, 
 29.10,   1.38E-008, 
 29.20,   8.43E-009, 
 29.30,   2.76E-009, 
 29.40,   1.43E-009, 
 29.50,   1.34E-009, 
