Apr 15, 2025  12:56:39 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 20, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.00,   1.30E-009, 
 20.10,   1.21E-009, 
 20.20,   9.78E-010, 
 20.30,   5.37E-010, 
 20.40,   2.13E-010, 
 20.50,   5.53E-011, 
 20.60,  -1.61E-011, 
 20.70,  -2.63E-011, 
 20.80,  -5.08E-011, 
 20.90,  -5.33E-011, 
 21.00,  -6.17E-011, 
 21.10,  -5.46E-011, 
 21.20,  -6.11E-011, 
 21.30,  -1.01E-010, 
 21.40,  -8.03E-011, 
 21.50,  -5.98E-011, 
 21.60,  -9.64E-012, 
 21.70,   5.40E-011, 
 21.80,   1.17E-010, 
 21.90,   1.93E-010, 
 22.00,   2.10E-010, 
 22.10,   1.73E-010, 
 22.20,   1.30E-010, 
 22.30,   1.30E-010, 
 22.40,   8.68E-011, 
 22.50,   7.01E-011, 
 22.60,   5.01E-011, 
 22.70,   1.54E-011, 
 22.80,   9.00E-012, 
 22.90,  -5.14E-012, 
 23.00,  -6.43E-012, 
 23.10,  -1.93E-011, 
 23.20,  -2.76E-011, 
 23.30,  -2.06E-011, 
 23.40,  -3.21E-011, 
 23.50,  -2.57E-011, 
 23.60,   1.41E-011, 
 23.70,   4.63E-011, 
 23.80,   6.88E-011, 
 23.90,   1.02E-010, 
 24.00,   1.07E-010, 
 24.10,   1.02E-010, 
 24.20,   9.06E-011, 
 24.30,   3.73E-011, 
 24.40,   1.86E-011, 
 24.50,   4.63E-011, 
 24.60,   5.53E-011, 
 24.70,   1.72E-010, 
 24.80,   3.63E-010, 
 24.90,   4.42E-010, 
 25.00,   4.42E-010, 
 25.10,   4.31E-010, 
 25.20,   3.70E-010, 
 25.30,   1.70E-010, 
 25.40,   1.59E-010, 
 25.50,   1.73E-010, 
 25.60,   4.75E-010, 
 25.70,   1.33E-009, 
 25.80,   2.29E-009, 
 25.90,   2.92E-009, 
 26.00,   3.02E-009, 
 26.10,   2.89E-009, 
 26.20,   2.22E-009, 
 26.30,   1.14E-009, 
 26.40,   6.80E-010, 
 26.50,   6.55E-010, 
 26.60,   1.43E-009, 
 26.70,   4.71E-009, 
 26.80,   8.58E-009, 
 26.90,   1.03E-008, 
 27.00,   1.05E-008, 
 27.10,   1.04E-008, 
 27.20,   8.79E-009, 
 27.30,   7.62E-009, 
 27.40,   1.54E-008, 
 27.50,   4.46E-008, 
 27.60,   2.27E-007, 
 27.70,   3.97E-007, 
 27.80,   4.79E-007, 
 27.90,   4.65E-007, 
 28.00,   4.37E-007, 
 28.10,   3.65E-007, 
 28.20,   1.03E-007, 
 28.30,   5.96E-009, 
 28.40,   2.13E-009, 
 28.50,   1.40E-009, 
 28.60,   2.31E-009, 
 28.70,   6.04E-009, 
 28.80,   9.53E-009, 
 28.90,   1.07E-008, 
 29.00,   1.05E-008, 
 29.10,   9.27E-009, 
 29.20,   5.51E-009, 
 29.30,   2.16E-009, 
 29.40,   1.44E-009, 
