Apr 15, 2025  12:27:13 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 701 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 20, amu 
Scan Stop Mass, 90, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 39.50,   9.95E-008, 
 39.60,   2.45E-007, 
 39.70,   6.74E-007, 
 39.80,   9.57E-007, 
 39.90,   1.17E-006, 
 40.00,   1.35E-006, 
 40.10,   1.39E-006, 
 40.20,   1.09E-006, 
 40.30,   3.41E-007, 
 40.40,   3.29E-007, 
 40.50,   6.43E-007, 
 40.60,   1.74E-006, 
 40.70,   6.09E-006, 
 40.80,   9.89E-006, 
 40.90,   1.22E-005, 
 41.00,   1.41E-005, 
 41.10,   1.45E-005, 
 41.20,   1.17E-005, 
 41.30,   2.10E-006, 
 41.40,   1.74E-007, 
 41.50,   2.73E-007, 
 41.60,   7.62E-007, 
 41.70,   3.13E-006, 
 41.80,   5.04E-006, 
 41.90,   6.23E-006, 
 42.00,   7.26E-006, 
 42.10,   7.46E-006, 
 42.20,   5.73E-006, 
 42.30,   1.04E-006, 
 42.40,   7.81E-008, 
 42.50,   1.21E-007, 
 42.60,   3.38E-007, 
 42.70,   1.39E-006, 
 42.80,   2.22E-006, 
 42.90,   2.87E-006, 
 43.00,   3.37E-006, 
 43.10,   3.47E-006, 
 43.20,   2.76E-006, 
 43.30,   5.91E-007, 
 43.40,   2.12E-008, 
 43.50,   9.00E-009, 
 43.60,   2.08E-008, 
 43.70,   7.28E-008, 
 43.80,   1.18E-007, 
 43.90,   1.47E-007, 
 44.00,   1.71E-007, 
 44.10,   1.73E-007, 
 44.20,   1.12E-007, 
 44.30,   2.72E-008, 
 44.40,   4.22E-009, 
 44.50,   1.68E-009, 
 44.60,   1.15E-009, 
 44.70,   1.81E-009, 
 44.80,   3.25E-009, 
 44.90,   4.81E-009, 
 45.00,   5.98E-009, 
 45.10,   6.49E-009, 
 45.20,   5.41E-009, 
 45.30,   2.66E-009, 
 45.40,   1.15E-009, 
 45.50,   6.11E-010, 
 45.60,   4.15E-010, 
 45.70,   4.27E-010, 
 45.80,   6.68E-010, 
 45.90,   9.20E-010, 
 46.00,   1.09E-009, 
 46.10,   1.27E-009, 
 46.20,   1.23E-009, 
 46.30,   7.96E-010, 
 46.40,   4.71E-010, 
 46.50,   3.39E-010, 
 46.60,   2.45E-010, 
 46.70,   3.64E-010, 
 46.80,   4.52E-010, 
 46.90,   5.96E-010, 
 47.00,   7.38E-010, 
 47.10,   7.44E-010, 
 47.20,   5.94E-010, 
 47.30,   4.13E-010, 
