Apr 15, 2025  12:12:44 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.30,   5.98E-010, 
 20.40,   2.42E-010, 
 20.50,   1.09E-010, 
 20.60,   6.36E-011, 
 20.70,   1.48E-011, 
 20.80,   2.51E-011, 
 20.90,   5.14E-011, 
 21.00,   5.85E-011, 
 21.10,   8.35E-012, 
 21.20,  -1.41E-011, 
 21.30,  -3.34E-011, 
 21.40,  -7.71E-012, 
 21.50,  -9.64E-012, 
 21.60,   4.18E-011, 
 21.70,   1.04E-010, 
 21.80,   1.68E-010, 
 21.90,   3.05E-010, 
 22.00,   3.29E-010, 
 22.10,   3.41E-010, 
 22.20,   2.40E-010, 
 22.30,   1.09E-010, 
 22.40,   3.21E-011, 
 22.50,  -5.78E-012, 
 22.60,  -1.48E-011, 
 22.70,  -6.43E-013, 
 22.80,  -2.51E-011, 
 22.90,  -6.23E-011, 
 23.00,  -2.76E-011, 
 23.10,  -3.15E-011, 
 23.20,  -3.21E-011, 
 23.30,  -2.44E-011, 
 23.40,  -1.67E-011, 
 23.50,  -2.83E-011, 
 23.60,  -3.86E-012, 
 23.70,   1.74E-011, 
 23.80,  -1.16E-011, 
 23.90,   1.29E-011, 
 24.00,   5.53E-011, 
 24.10,   5.91E-011, 
 24.20,   8.48E-011, 
 24.30,   1.61E-011, 
 24.40,  -6.43E-012, 
 24.50,   4.50E-012, 
 24.60,   1.29E-011, 
 24.70,   9.38E-011, 
 24.80,   1.99E-010, 
 24.90,   2.85E-010, 
 25.00,   2.57E-010, 
 25.10,   2.31E-010, 
 25.20,   3.19E-010, 
 25.30,   1.80E-010, 
 25.40,   1.45E-010, 
 25.50,   1.78E-010, 
 25.60,   4.44E-010, 
 25.70,   1.23E-009, 
 25.80,   2.16E-009, 
 25.90,   2.75E-009, 
 26.00,   2.95E-009, 
 26.10,   2.85E-009, 
 26.20,   2.28E-009, 
 26.30,   1.12E-009, 
 26.40,   6.95E-010, 
 26.50,   6.79E-010, 
 26.60,   1.33E-009, 
 26.70,   4.42E-009, 
 26.80,   8.09E-009, 
 26.90,   9.95E-009, 
 27.00,   1.01E-008, 
 27.10,   1.00E-008, 
 27.20,   8.62E-009, 
 27.30,   6.75E-009, 
 27.40,   1.22E-008, 
 27.50,   3.48E-008, 
 27.60,   1.81E-007, 
 27.70,   3.35E-007, 
 27.80,   4.07E-007, 
 27.90,   3.98E-007, 
 28.00,   3.79E-007, 
 28.10,   3.21E-007, 
 28.20,   1.07E-007, 
 28.30,   6.52E-009, 
 28.40,   2.12E-009, 
 28.50,   1.39E-009, 
 28.60,   2.38E-009, 
 28.70,   6.50E-009, 
 28.80,   1.05E-008, 
 28.90,   1.19E-008, 
 29.00,   1.15E-008, 
 29.10,   1.02E-008, 
 29.20,   6.38E-009, 
 29.30,   2.63E-009, 
 29.40,   2.10E-009, 
 29.50,   3.55E-009, 
 29.60,   2.02E-008, 
 29.70,   4.32E-008, 
 29.80,   5.41E-008, 
 29.90,   5.39E-008, 
 30.00,   5.00E-008, 
 30.10,   4.08E-008, 
 30.20,   1.53E-008, 
 30.30,   2.87E-009, 
 30.40,   1.19E-009, 
 30.50,   6.61E-010, 
 30.60,   5.88E-010, 
 30.70,   8.78E-010, 
 30.80,   1.29E-009, 
 30.90,   1.61E-009, 
 31.00,   1.88E-009, 
 31.10,   1.91E-009, 
 31.20,   1.64E-009, 
 31.30,   1.36E-009, 
 31.40,   1.96E-009, 
 31.50,   4.28E-009, 
 31.60,   2.50E-008, 
 31.70,   4.80E-008, 
 31.80,   6.04E-008, 
 31.90,   5.99E-008, 
 32.00,   5.55E-008, 
 32.10,   4.33E-008, 
 32.20,   1.41E-008, 
 32.30,   2.73E-009, 
 32.40,   1.19E-009, 
 32.50,   5.94E-010, 
 32.60,   3.88E-010, 
 32.70,   2.26E-010, 
 32.80,   2.09E-010, 
 32.90,   1.94E-010, 
 33.00,   1.68E-010, 
 33.10,   1.58E-010, 
 33.20,   1.41E-010, 
 33.30,   9.45E-011, 
 33.40,   5.78E-011, 
 33.50,   3.08E-011, 
 33.60,   4.31E-011, 
 33.70,   9.45E-011, 
 33.80,   1.60E-010, 
 33.90,   2.17E-010, 
 34.00,   2.45E-010, 
 34.10,   2.35E-010, 
 34.20,   1.66E-010, 
 34.30,   1.06E-010, 
 34.40,   9.19E-011, 
 34.50,   6.23E-011, 
 34.60,   5.46E-011, 
 34.70,   1.07E-010, 
 34.80,   1.75E-010, 
 34.90,   1.70E-010, 
 35.00,   1.61E-010, 
 35.10,   1.51E-010, 
 35.20,   9.83E-011, 
 35.30,   1.04E-010, 
 35.40,   8.03E-011, 
 35.50,   7.97E-011, 
 35.60,   2.06E-010, 
 35.70,   4.03E-010, 
 35.80,   5.59E-010, 
 35.90,   6.38E-010, 
 36.00,   6.88E-010, 
 36.10,   5.99E-010, 
 36.20,   4.13E-010, 
 36.30,   1.96E-010, 
 36.40,   1.72E-010, 
 36.50,   1.30E-010, 
 36.60,   1.39E-010, 
 36.70,   2.23E-010, 
 36.80,   3.44E-010, 
 36.90,   3.88E-010, 
 37.00,   4.09E-010, 
 37.10,   4.04E-010, 
 37.20,   2.84E-010, 
 37.30,   2.07E-010, 
 37.40,   1.40E-010, 
 37.50,   1.29E-010, 
 37.60,   1.86E-010, 
 37.70,   4.33E-010, 
 37.80,   6.88E-010, 
 37.90,   8.53E-010, 
 38.00,   9.34E-010, 
 38.10,   9.42E-010, 
 38.20,   7.27E-010, 
 38.30,   4.78E-010, 
 38.40,   4.00E-010, 
 38.50,   4.93E-010, 
 38.60,   1.11E-009, 
 38.70,   3.14E-009, 
 38.80,   5.65E-009, 
 38.90,   7.10E-009, 
 39.00,   7.67E-009, 
 39.10,   6.84E-009, 
 39.20,   3.93E-009, 
 39.30,   1.68E-009, 
 39.40,   1.08E-009, 
 39.50,   1.19E-009, 
 39.60,   3.12E-009, 
 39.70,   6.70E-009, 
 39.80,   9.28E-009, 
 39.90,   1.02E-008, 
 40.00,   1.00E-008, 
 40.10,   7.47E-009, 
 40.20,   3.21E-009, 
 40.30,   1.47E-009, 
 40.40,   9.36E-010, 
 40.50,   9.86E-010, 
 40.60,   2.13E-009, 
 40.70,   7.38E-009, 
 40.80,   1.31E-008, 
 40.90,   1.53E-008, 
 41.00,   1.64E-008, 
 41.10,   1.44E-008, 
 41.20,   7.53E-009, 
 41.30,   2.45E-009, 
 41.40,   1.16E-009, 
 41.50,   8.28E-010, 
 41.60,   1.12E-009, 
 41.70,   2.83E-009, 
 41.80,   5.12E-009, 
 41.90,   6.57E-009, 
 42.00,   7.28E-009, 
 42.10,   6.76E-009, 
 42.20,   4.13E-009, 
 42.30,   1.74E-009, 
 42.40,   9.17E-010, 
 42.50,   6.90E-010, 
 42.60,   1.00E-009, 
 42.70,   2.47E-009, 
 42.80,   4.34E-009, 
 42.90,   5.65E-009, 
 43.00,   6.39E-009, 
 43.10,   6.18E-009, 
 43.20,   4.33E-009, 
 43.30,   2.48E-009, 
 43.40,   2.35E-009, 
 43.50,   4.05E-009, 
 43.60,   1.97E-008, 
 43.70,   3.84E-008, 
 43.80,   4.72E-008, 
 43.90,   5.01E-008, 
 44.00,   4.87E-008, 
 44.10,   3.27E-008, 
 44.20,   8.85E-009, 
 44.30,   2.18E-009, 
 44.40,   9.87E-010, 
 44.50,   6.07E-010, 
 44.60,   5.48E-010, 
 44.70,   6.89E-010, 
 44.80,   8.53E-010, 
 44.90,   1.04E-009, 
 45.00,   1.10E-009, 
 45.10,   1.03E-009, 
 45.20,   7.20E-010, 
 45.30,   4.25E-010, 
 45.40,   2.48E-010, 
 45.50,   1.75E-010, 
 45.60,   1.63E-010, 
 45.70,   1.69E-010, 
 45.80,   2.53E-010, 
 45.90,   2.78E-010, 
 46.00,   3.99E-010, 
 46.10,   3.98E-010, 
 46.20,   2.49E-010, 
 46.30,   1.52E-010, 
 46.40,   7.97E-011, 
 46.50,   5.59E-011, 
 46.60,   7.52E-011, 
 46.70,   1.07E-010, 
 46.80,   1.39E-010, 
 46.90,   1.72E-010, 
 47.00,   1.53E-010, 
 47.10,   1.30E-010, 
 47.20,   1.07E-010, 
 47.30,   8.35E-011, 
 47.40,   9.83E-011, 
 47.50,   9.90E-011, 
 47.60,   1.11E-010, 
 47.70,   1.25E-010, 
 47.80,   1.53E-010, 
 47.90,   2.10E-010, 
 48.00,   2.04E-010, 
 48.10,   2.03E-010, 
 48.20,   1.65E-010, 
 48.30,   1.02E-010, 
 48.40,   5.59E-011, 
 48.50,   4.82E-011, 
 48.60,   5.46E-011, 
 48.70,   9.13E-011, 
 48.80,   1.29E-010, 
 48.90,   1.12E-010, 
 49.00,   1.61E-010, 
 49.10,   1.74E-010, 
 49.20,   1.52E-010, 
 49.30,   1.24E-010, 
 49.40,   1.26E-010, 
 49.50,   1.51E-010, 
 49.60,   1.72E-010, 
 49.70,   2.88E-010, 
 49.80,   4.49E-010, 
 49.90,   5.43E-010, 
 50.00,   6.68E-010, 
 50.10,   6.84E-010, 
 50.20,   5.05E-010, 
 50.30,   2.66E-010, 
 50.40,   1.88E-010, 
 50.50,   1.74E-010, 
 50.60,   2.06E-010, 
 50.70,   4.19E-010, 
 50.80,   6.08E-010, 
 50.90,   7.32E-010, 
 51.00,   7.76E-010, 
 51.10,   7.82E-010, 
 51.20,   5.95E-010, 
 51.30,   2.88E-010, 
 51.40,   1.79E-010, 
 51.50,   1.49E-010, 
 51.60,   1.25E-010, 
 51.70,   2.09E-010, 
 51.80,   3.51E-010, 
 51.90,   3.82E-010, 
 52.00,   4.19E-010, 
