Frequency,Channel A
(kHz),(dBu)

0.00000000,-39.08030000
0.19073486,-45.90123000
0.38146973,-63.02372000
0.57220459,-65.97726000
0.76293945,-67.79053000
0.95367432,-75.66811000
1.14440918,-69.26925000
1.33514404,-69.84784000
1.52587891,-64.00656000
1.71661377,-67.83438000
1.90734863,-59.17965000
2.09808350,-66.35196000
2.28881836,-35.01688000
2.47955322,-17.07873000
2.67028809,-10.34054000
2.86102295,-11.75721000
3.05175781,-21.85958000
3.24249268,-46.23664000
3.43322754,-64.91006000
3.62396240,-62.28889000
3.81469727,-70.85338000
4.00543213,-65.64479000
4.19616699,-76.43805000
4.38690186,-75.90044000
4.57763672,-74.07844000
4.76837158,-71.49977000
4.95910645,-68.74068000
5.14984131,-71.44824000
5.34057617,-69.45824000
5.53131104,-70.30694000
5.72204590,-72.73310000
5.91278076,-78.19895000
6.10351563,-87.04223000
6.29425049,-77.28991000
6.48498535,-72.70448000
6.67572021,-70.74389000
6.86645508,-69.88187000
7.05718994,-66.02025000
7.24792480,-66.47404000
7.43865967,-67.69340000
7.62939453,-80.09702000
7.82012939,-72.29848000
8.01086426,-65.61037000
8.20159912,-71.69810000
8.39233398,-63.48296000
8.58306885,-56.69867000
8.77380371,-47.97690000
8.96453857,-39.96662000
9.15527344,-37.30898000
9.34600830,-39.96195000
9.53674316,-47.85011000
9.72747803,-58.44009000
9.91821289,-70.60053000
10.10894775,-66.60941000
10.29968262,-74.29068000
10.49041748,-76.34872000
10.68115234,-79.74642000
10.87188721,-76.92815000
11.06262207,-74.79890000
11.25335693,-71.32056000
11.44409180,-69.34816000
11.63482666,-71.47513000
11.82556152,-71.05653000
12.01629639,-73.53150000
12.20703125,-74.60130000
12.39776611,-74.62891000
12.58850098,-80.40566000
12.77923584,-75.26066000
12.96997070,-74.23301000
13.16070557,-75.78300000
13.35144043,-72.55311000
13.54217529,-71.31017000
13.73291016,-73.59000000
13.92364502,-84.64886000
14.11437988,-84.16434000
14.30511475,-75.15134000
14.49584961,-72.00971000
14.68658447,-71.28488000
14.87731934,-71.85114000
15.06805420,-73.46593000
15.25878906,-84.65118000
15.44952393,-73.81578000
15.64025879,-75.99786000
15.83099365,-77.69382000
16.02172852,-73.19582000
16.21246338,-84.02570000
16.40319824,-76.61502000
16.59393311,-69.34872000
16.78466797,-66.76379000
16.97540283,-70.94419000
17.16613770,-76.06488000
17.35687256,-75.76039000
17.54760742,-73.90537000
17.73834229,-74.77303000
17.92907715,-73.51387000
18.11981201,-71.89789000
18.31054688,-72.12907000
18.50128174,-70.80858000
18.69201660,-68.62845000
18.88275146,-67.76105000
19.07348633,-69.52961000
19.26422119,-72.50397000
19.45495605,-72.52286000
19.64569092,-75.30661000
19.83642578,-74.87143000
20.02716064,-73.97356000
20.21789551,-73.54747000
20.40863037,-71.93842000
20.59936523,-70.42011000
20.79010010,-71.44332000
20.98083496,-73.74898000
21.17156982,-66.95181000
21.36230469,-65.20059000
21.55303955,-67.83282000
21.74377441,-72.86437000
21.93450928,-72.95119000
22.12524414,-69.35106000
22.31597900,-68.70274000
22.50671387,-74.05012000
22.69744873,-76.25890000
22.88818359,-83.73312000
23.07891846,-78.05831000
23.26965332,-71.51672000
23.46038818,-75.62444000
23.65112305,-88.05589000
23.84185791,-82.31345000
24.03259277,-71.01564000
24.22332764,-70.14032000
24.41406250,-73.43867000
24.60479736,-75.56425000
24.79553223,-69.46774000
24.98626709,-69.97955000
25.17700195,-71.74480000
