Frequency,Channel A
(kHz),(dBu)

0.00000000,-28.50675000
0.09536743,-35.03775000
0.19073486,-47.38765000
0.28610229,-65.38618000
0.38146973,-60.88027000
0.47683716,-55.15956000
0.57220459,-56.25104000
0.66757202,-58.93455000
0.76293945,-59.11790000
0.85830688,-63.74254000
0.95367432,-64.27674000
1.04904175,-61.73862000
1.14440918,-66.43764000
1.23977661,-68.76131000
1.33514404,-65.39644000
1.43051147,-70.81797000
1.52587891,-82.74467000
1.62124634,-72.01948000
1.71661377,-69.59586000
1.81198120,-65.18619000
1.90734863,-63.16218000
2.00271606,-66.62691000
2.09808350,-60.22216000
2.19345093,-56.59191000
2.28881836,-58.10362000
2.38418579,-60.62343000
2.47955322,-60.01592000
2.57492065,-59.53961000
2.67028809,-59.87151000
2.76565552,-63.66650000
2.86102295,-68.48457000
2.95639038,-63.54603000
3.05175781,-67.57896000
3.14712524,-64.78541000
3.24249268,-65.58135000
3.33786011,-66.75124000
3.43322754,-64.99863000
3.52859497,-63.85788000
3.62396240,-61.79708000
3.71932983,-60.28030000
3.81469727,-63.32366000
3.91006470,-74.69529000
4.00543213,-72.44981000
4.10079956,-67.38725000
4.19616699,-70.84029000
4.29153442,-70.91346000
4.38690186,-67.72585000
4.48226929,-60.72665000
4.57763672,-58.41507000
4.67300415,-62.62984000
4.76837158,-67.30470000
4.86373901,-66.99471000
4.95910645,-58.61765000
5.05447388,-58.14758000
5.14984131,-69.52515000
5.24520874,-61.68542000
5.34057617,-64.92240000
5.43594360,-58.71940000
5.53131104,-80.30994000
5.62667847,-56.16431000
5.72204590,-56.53656000
5.81741333,-48.54877000
5.91278076,-57.13081000
6.00814819,-45.61902000
6.10351563,-32.85963000
6.19888306,-13.74784000
6.29425049,-4.05417500
6.38961792,-2.50489600
6.48498535,-8.66519500
6.58035278,-24.04490000
6.67572021,-44.10165000
6.77108765,-56.54515000
6.86645508,-46.65952000
6.96182251,-55.89691000
7.05718994,-51.37210000
7.15255737,-59.23627000
7.24792480,-59.25708000
7.34329224,-62.72794000
7.43865967,-66.33832000
7.53402710,-57.03495000
7.62939453,-52.97046000
7.72476196,-54.60426000
7.82012939,-63.59216000
7.91549683,-63.87375000
8.01086426,-58.37128000
8.10623169,-58.94337000
8.20159912,-71.65302000
8.29696655,-68.60627000
8.39233398,-58.63459000
8.48770142,-67.86439000
8.58306885,-51.60543000
8.67843628,-73.02330000
8.77380371,-49.58830000
8.86917114,-46.02805000
8.96453857,-36.76001000
9.05990601,-26.68533000
9.15527344,-19.95628000
9.25064087,-18.77258000
9.34600830,-22.94448000
9.44137573,-32.12717000
9.53674316,-42.10461000
9.63211060,-50.13130000
9.72747803,-53.99594000
9.82284546,-58.94081000
9.91821289,-57.73815000
10.01358032,-65.65751000
10.10894775,-59.15823000
10.20431519,-77.28545000
10.29968262,-59.61827000
10.39505005,-60.91944000
10.49041748,-58.43565000
10.58578491,-63.70208000
10.68115234,-76.44418000
10.77651978,-62.54563000
10.87188721,-59.89674000
10.96725464,-58.24197000
11.06262207,-57.99646000
11.15798950,-65.06886000
11.25335693,-61.80098000
11.34872437,-57.08814000
11.44409180,-61.55535000
11.53945923,-60.74731000
11.63482666,-67.30379000
11.73019409,-60.20279000
11.82556152,-56.07063000
11.92092896,-55.16735000
12.01629639,-58.53836000
12.11166382,-68.09147000
12.20703125,-63.60434000
12.30239868,-63.06763000
12.39776611,-60.18175000
12.49313354,-58.59814000
12.58850098,-60.62048000
