Apr 15, 2025  01:43:21 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 401 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 10, amu 
Scan Stop Mass, 50, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.20,   6.78E-008, 
 20.30,   8.40E-009, 
 20.40,   2.70E-009, 
 20.50,   1.85E-009, 
 20.60,   1.98E-009, 
 20.70,   3.90E-009, 
 20.80,   6.35E-009, 
 20.90,   7.67E-009, 
 21.00,   8.94E-009, 
 21.10,   9.70E-009, 
 21.20,   1.13E-008, 
 21.30,   8.26E-009, 
 21.40,   8.03E-009, 
 21.50,   9.09E-009, 
 21.60,   9.49E-009, 
 21.70,   9.91E-009, 
 21.80,   5.93E-009, 
 21.90,   5.14E-009, 
 22.00,   5.54E-009, 
 22.10,   5.49E-009, 
 22.20,   4.48E-009, 
 22.30,   1.98E-009, 
 22.40,   1.02E-009, 
 22.50,   6.72E-010, 
 22.60,   5.25E-010, 
 22.70,   4.76E-010, 
 22.80,   3.62E-010, 
 22.90,   2.70E-010, 
 23.00,   3.01E-010, 
 23.10,   4.42E-010, 
 23.20,   7.42E-010, 
 23.30,   1.40E-009, 
 23.40,   3.12E-009, 
 23.50,   8.44E-009, 
 23.60,   3.72E-008, 
 23.70,   1.00E-007, 
 23.80,   1.24E-007, 
 23.90,   1.44E-007, 
 24.00,   1.47E-007, 
 24.10,   1.45E-007, 
 24.20,   7.46E-008, 
 24.30,   1.35E-008, 
 24.40,   1.90E-008, 
 24.50,   4.34E-008, 
 24.60,   1.68E-007, 
 24.70,   3.92E-007, 
 24.80,   4.79E-007, 
 24.90,   5.68E-007, 
 25.00,   5.78E-007, 
 25.10,   5.74E-007, 
 25.20,   3.01E-007, 
 25.30,   5.40E-008, 
 25.40,   1.08E-007, 
 25.50,   2.45E-007, 
 25.60,   8.69E-007, 
 25.70,   2.17E-006, 
 25.80,   2.69E-006, 
 25.90,   3.10E-006, 
 26.00,   3.22E-006, 
 26.10,   3.19E-006, 
 26.20,   1.80E-006, 
 26.30,   1.13E-007, 
 26.40,   1.08E-007, 
 26.50,   2.24E-007, 
 26.60,   6.99E-007, 
 26.70,   1.94E-006, 
 26.80,   2.58E-006, 
 26.90,   3.09E-006, 
 27.00,   3.31E-006, 
 27.10,   3.37E-006, 
 27.20,   2.27E-006, 
 27.30,   7.59E-007, 
 27.40,   1.58E-006, 
 27.50,   3.25E-006, 
 27.60,   9.53E-006, 
 27.70,   2.50E-005, 
 27.80,   3.35E-005, 
 27.90,   4.14E-005, 
 28.00,   4.33E-005, 
 28.10,   4.23E-005, 
 28.20,   1.73E-005, 
 28.30,   4.39E-007, 
 28.40,   2.55E-007, 
 28.50,   4.74E-007, 
 28.60,   1.71E-006, 
 28.70,   3.96E-006, 
 28.80,   4.99E-006, 
 28.90,   6.08E-006, 
 29.00,   5.94E-006, 
 29.10,   5.40E-006, 
 29.20,   1.46E-006, 
 29.30,   5.28E-008, 
 29.40,   3.58E-008, 
 29.50,   6.83E-008, 
 29.60,   2.57E-007, 
 29.70,   5.51E-007, 
 29.80,   6.86E-007, 
 29.90,   8.33E-007, 
 30.00,   8.03E-007, 
 30.10,   7.46E-007, 
 30.20,   2.63E-007, 
 30.30,   1.72E-007, 
 30.40,   3.60E-007, 
 30.50,   7.82E-007, 
 30.60,   2.83E-006, 
 30.70,   6.23E-006, 
 30.80,   7.72E-006, 
 30.90,   9.32E-006, 
 31.00,   8.97E-006, 
 31.10,   7.93E-006, 
 31.20,   2.09E-006, 
 31.30,   1.85E-007, 
 31.40,   3.01E-007, 
 31.50,   6.77E-007, 
 31.60,   2.75E-006, 
 31.70,   4.95E-006, 
 31.80,   5.99E-006, 
 31.90,   6.83E-006, 
 32.00,   6.48E-006, 
 32.10,   4.62E-006, 
 32.20,   6.27E-007, 
 32.30,   2.29E-008, 
 32.40,   7.25E-009, 
 32.50,   4.23E-009, 
 32.60,   7.08E-009, 
 32.70,   1.89E-008, 
 32.80,   2.52E-008, 
 32.90,   2.99E-008, 
 33.00,   2.90E-008, 
 33.10,   2.53E-008, 
 33.20,   9.91E-009, 
 33.30,   2.63E-009, 
 33.40,   1.54E-009, 
 33.50,   1.92E-009, 
 33.60,   7.27E-009, 
 33.70,   1.88E-008, 
 33.80,   2.40E-008, 
 33.90,   2.72E-008, 
 34.00,   2.62E-008, 
 34.10,   1.93E-008, 
 34.20,   5.69E-009, 
 34.30,   1.29E-009, 
 34.40,   1.80E-010, 
 34.50,  -2.85E-010, 
 34.60,  -2.22E-010, 
 34.70,   2.45E-010, 
 34.80,   6.17E-010, 
 34.90,   7.51E-010, 
 35.00,   7.37E-010, 
 35.10,   6.40E-010, 
 35.20,   4.07E-010, 
 35.30,   3.03E-010, 
 35.40,   6.19E-010, 
 35.50,   1.80E-009, 
 35.60,   8.68E-009, 
 35.70,   1.72E-008, 
 35.80,   2.15E-008, 
 35.90,   2.25E-008, 
 36.00,   2.17E-008, 
 36.10,   1.28E-008, 
 36.20,   3.46E-009, 
 36.30,   1.10E-009, 
 36.40,   3.95E-010, 
