May 21, 2024  12:33:35 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.10,   2.18E-009, 
 20.20,   1.56E-009, 
 20.30,   7.15E-010, 
 20.40,   3.67E-010, 
 20.50,   1.82E-010, 
 20.60,   9.70E-011, 
 20.70,   4.56E-011, 
 20.80,   8.35E-012, 
 20.90,  -1.29E-012, 
 21.00,   0.00E+000, 
 21.10,  -1.03E-011, 
 21.20,  -4.43E-011, 
 21.30,  -2.44E-011, 
 21.40,  -6.43E-013, 
 21.50,   1.03E-011, 
 21.60,   2.89E-011, 
 21.70,   6.62E-011, 
 21.80,   1.46E-010, 
 21.90,   2.01E-010, 
 22.00,   2.81E-010, 
 22.10,   2.73E-010, 
 22.20,   1.36E-010, 
 22.30,   7.78E-011, 
 22.40,   3.53E-011, 
 22.50,   1.61E-011, 
 22.60,   2.19E-011, 
 22.70,  -1.86E-011, 
 22.80,  -4.18E-011, 
 22.90,  -2.83E-011, 
 23.00,  -5.78E-012, 
 23.10,  -2.19E-011, 
 23.20,  -1.93E-011, 
 23.30,  -2.89E-011, 
 23.40,  -2.19E-011, 
 23.50,  -6.43E-013, 
 23.60,   4.63E-011, 
 23.70,   3.28E-011, 
 23.80,   5.21E-011, 
 23.90,   8.68E-011, 
 24.00,   5.08E-011, 
 24.10,   6.30E-011, 
 24.20,   5.98E-011, 
 24.30,   5.53E-011, 
 24.40,   1.67E-011, 
 24.50,   1.93E-012, 
 24.60,   5.14E-011, 
 24.70,   2.48E-010, 
 24.80,   3.99E-010, 
 24.90,   4.21E-010, 
 25.00,   4.33E-010, 
 25.10,   4.42E-010, 
 25.20,   3.10E-010, 
 25.30,   2.33E-010, 
 25.40,   1.43E-010, 
 25.50,   2.56E-010, 
 25.60,   5.30E-010, 
 25.70,   1.42E-009, 
 25.80,   2.55E-009, 
 25.90,   3.31E-009, 
 26.00,   3.38E-009, 
 26.10,   2.98E-009, 
 26.20,   1.85E-009, 
 26.30,   9.07E-010, 
 26.40,   6.21E-010, 
 26.50,   6.18E-010, 
 26.60,   1.23E-009, 
 26.70,   3.59E-009, 
 26.80,   6.54E-009, 
 26.90,   7.98E-009, 
 27.00,   8.35E-009, 
 27.10,   8.20E-009, 
 27.20,   6.38E-009, 
 27.30,   8.05E-009, 
 27.40,   1.73E-008, 
 27.50,   5.22E-008, 
 27.60,   2.55E-007, 
 27.70,   4.22E-007, 
 27.80,   5.02E-007, 
 27.90,   4.93E-007, 
 28.00,   4.19E-007, 
 28.10,   2.62E-007, 
 28.20,   2.57E-008, 
 28.30,   3.47E-009, 
 28.40,   1.70E-009, 
 28.50,   1.52E-009, 
 28.60,   4.07E-009, 
 28.70,   1.13E-008, 
 28.80,   1.65E-008, 
 28.90,   1.72E-008, 
 29.00,   1.57E-008, 
