Apr 15, 2025  01:19:57 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 401 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 10, amu 
Scan Stop Mass, 50, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 29.60,   5.36E-008, 
 29.70,   1.10E-007, 
 29.80,   1.29E-007, 
 29.90,   1.46E-007, 
 30.00,   1.37E-007, 
 30.10,   1.25E-007, 
 30.20,   4.27E-008, 
 30.30,   1.40E-008, 
 30.40,   2.71E-008, 
 30.50,   7.02E-008, 
 30.60,   3.01E-007, 
 30.70,   5.43E-007, 
 30.80,   6.32E-007, 
 30.90,   7.16E-007, 
 31.00,   6.75E-007, 
 31.10,   6.03E-007, 
 31.20,   1.84E-007, 
 31.30,   1.12E-007, 
 31.40,   2.44E-007, 
 31.50,   6.55E-007, 
 31.60,   2.65E-006, 
 31.70,   4.09E-006, 
 31.80,   4.59E-006, 
 31.90,   4.96E-006, 
 32.00,   4.66E-006, 
 32.10,   3.44E-006, 
 32.20,   4.20E-007, 
 32.30,   1.63E-008, 
 32.40,   5.88E-009, 
 32.50,   3.61E-009, 
 32.60,   4.43E-009, 
 32.70,   7.27E-009, 
 32.80,   8.89E-009, 
 32.90,   1.01E-008, 
 33.00,   9.87E-009, 
 33.10,   9.25E-009, 
 33.20,   4.91E-009, 
 33.30,   2.09E-009, 
 33.40,   1.54E-009, 
 33.50,   2.06E-009, 
 33.60,   7.06E-009, 
 33.70,   1.50E-008, 
 33.80,   1.81E-008, 
 33.90,   2.02E-008, 
 34.00,   1.93E-008, 
 34.10,   1.52E-008, 
 34.20,   5.06E-009, 
 34.30,   1.46E-009, 
 34.40,   6.05E-010, 
 34.50,   2.55E-010, 
 34.60,   7.65E-011, 
 34.70,   1.02E-010, 
 34.80,   8.55E-011, 
 34.90,   2.89E-011, 
 35.00,   5.14E-012, 
 35.10,  -2.70E-011, 
 35.20,   1.03E-011, 
 35.30,   3.66E-011, 
 35.40,   2.01E-010, 
 35.50,   6.18E-010, 
 35.60,   2.12E-009, 
 35.70,   4.35E-009, 
 35.80,   5.92E-009, 
 35.90,   6.92E-009, 
 36.00,   7.02E-009, 
 36.10,   5.80E-009, 
 36.20,   2.88E-009, 
 36.30,   1.93E-009, 
 36.40,   2.38E-009, 
 36.50,   5.03E-009, 
 36.60,   2.30E-008, 
 36.70,   3.97E-008, 
 36.80,   4.59E-008, 
 36.90,   5.09E-008, 
 37.00,   4.99E-008, 
 37.10,   4.15E-008, 
 37.20,   1.56E-008, 
 37.30,   8.98E-009, 
 37.40,   1.27E-008, 
 37.50,   2.39E-008, 
 37.60,   8.01E-008, 
 37.70,   1.30E-007, 
 37.80,   1.56E-007, 
 37.90,   1.78E-007, 
 38.00,   1.80E-007, 
 38.10,   1.48E-007, 
 38.20,   6.17E-008, 
 38.30,   7.04E-008, 
 38.40,   1.40E-007, 
 38.50,   2.73E-007, 
 38.60,   1.03E-006, 
 38.70,   1.85E-006, 
 38.80,   2.17E-006, 
 38.90,   2.48E-006, 
 39.00,   2.44E-006, 
