Frequency,Channel A
(kHz),(dBu)

25.36773682,-65.95883000
25.55847168,-82.64711000
25.74920654,-69.48615000
25.93994141,-64.61933000
26.13067627,-68.86836000
26.32141113,-71.79282000
26.51214600,-68.43415000
26.70288086,-63.72051000
26.89361572,-56.68571000
27.08435059,-54.26148000
27.27508545,-55.75237000
27.46582031,-55.68489000
27.65655518,-54.84999000
27.84729004,-58.71658000
28.03802490,-61.83106000
28.22875977,-61.78344000
28.41949463,-64.05932000
28.61022949,-58.05849000
28.80096436,-59.36937000
28.99169922,-72.06979000
29.18243408,-78.14185000
29.37316895,-63.25026000
29.56390381,-60.60185000
29.75463867,-62.82494000
29.94537354,-69.59911000
30.13610840,-72.28555000
30.32684326,-67.80626000
30.51757813,-74.97473000
30.70831299,-66.36885000
30.89904785,-64.49378000
31.08978271,-62.27998000
31.28051758,-62.59379000
31.47125244,-63.49149000
31.66198730,-60.47622000
31.85272217,-57.95620000
32.04345703,-60.75261000
32.23419189,-61.15641000
32.42492676,-60.35321000
32.61566162,-67.70164000
32.80639648,-65.11671000
32.99713135,-57.32272000
33.18786621,-54.68941000
33.37860107,-56.84520000
33.56933594,-67.17094000
33.76007080,-66.37225000
33.95080566,-66.70525000
34.14154053,-69.16512000
34.33227539,-73.53934000
34.52301025,-61.25065000
34.71374512,-63.26927000
34.90447998,-62.72522000
35.09521484,-66.08472000
35.28594971,-55.89443000
35.47668457,-56.75726000
35.66741943,-58.26682000
35.85815430,-59.32257000
36.04888916,-59.51268000
36.23962402,-57.68407000
36.43035889,-58.27796000
36.62109375,-61.30042000
36.81182861,-64.75826000
37.00256348,-55.12968000
37.19329834,-56.09913000
37.38403320,-57.26868000
37.57476807,-57.24343000
37.76550293,-58.38697000
37.95623779,-62.22588000
38.14697266,-60.05600000
38.33770752,-57.22532000
38.52844238,-56.18304000
38.71917725,-55.06359000
38.90991211,-56.87845000
39.10064697,-60.10840000
39.29138184,-53.93101000
39.48211670,-52.75510000
39.67285156,-55.61557000
39.86358643,-60.45584000
40.05432129,-68.20765000
40.24505615,-58.36009000
40.43579102,-55.24908000
40.62652588,-57.84932000
40.81726074,-61.08119000
41.00799561,-56.11649000
41.19873047,-53.88760000
41.38946533,-56.83632000
41.58020020,-63.27915000
41.77093506,-62.15287000
41.96166992,-61.98126000
42.15240479,-62.20498000
42.34313965,-59.13782000
42.53387451,-55.25246000
42.72460938,-55.04403000
42.91534424,-62.39335000
43.10607910,-61.23302000
43.29681396,-62.53269000
43.48754883,-64.94134000
43.67828369,-65.29382000
43.86901855,-62.50433000
44.05975342,-60.54863000
44.25048828,-65.02980000
44.44122314,-64.41284000
44.63195801,-59.18425000
44.82269287,-59.12086000
45.01342773,-60.64301000
45.20416260,-65.28790000
45.39489746,-65.03780000
45.58563232,-68.09600000
45.77636719,-69.86147000
45.96710205,-70.57665000
46.15783691,-69.90199000
46.34857178,-62.66697000
46.53930664,-65.48489000
46.73004150,-57.75824000
46.92077637,-55.19589000
47.11151123,-57.39771000
47.30224609,-55.69839000
47.49298096,-57.50477000
47.68371582,-61.78082000
47.87445068,-59.79196000
48.06518555,-62.57110000
48.25592041,-60.87218000
48.44665527,-61.65945000
48.63739014,-66.39743000
48.82812500,-67.72208000
49.01885986,-66.51875000
49.20959473,-59.40247000
49.40032959,-54.72585000
49.59106445,-53.93971000
49.78179932,-56.08296000
49.97253418,-61.04549000
