Apr 15, 2025  02:54:06 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


 20.20,   7.44E-008, 
 20.30,   1.33E-008, 
 20.40,   3.05E-009, 
 20.50,   1.90E-009, 
 20.60,   1.83E-009, 
 20.70,   2.98E-009, 
 20.80,   4.19E-009, 
 20.90,   4.92E-009, 
 21.00,   5.44E-009, 
 21.10,   5.68E-009, 
 21.20,   5.51E-009, 
 21.30,   2.88E-009, 
 21.40,   1.50E-009, 
 21.50,   1.12E-009, 
 21.60,   1.25E-009, 
 21.70,   1.98E-009, 
 21.80,   2.64E-009, 
 21.90,   2.98E-009, 
 22.00,   3.22E-009, 
 22.10,   3.25E-009, 
 22.20,   2.82E-009, 
 22.30,   1.37E-009, 
 22.40,   6.65E-010, 
 22.50,   3.64E-010, 
 22.60,   2.54E-010, 
 22.70,   1.62E-010, 
 22.80,   8.48E-011, 
 22.90,   6.56E-011, 
 23.00,   5.14E-011, 
 23.10,   1.14E-010, 
 23.20,   2.80E-010, 
 23.30,   3.76E-010, 
 23.40,   5.65E-010, 
 23.50,   1.28E-009, 
 23.60,   6.22E-009, 
 23.70,   1.99E-008, 
 23.80,   2.66E-008, 
 23.90,   2.90E-008, 
 24.00,   2.96E-008, 
 24.10,   2.88E-008, 
 24.20,   1.79E-008, 
 24.30,   4.68E-009, 
 24.40,   4.03E-009, 
 24.50,   8.20E-009, 
 24.60,   4.12E-008, 
 24.70,   9.42E-008, 
 24.80,   1.19E-007, 
 24.90,   1.31E-007, 
 25.00,   1.31E-007, 
 25.10,   1.32E-007, 
 25.20,   7.63E-008, 
 25.30,   2.53E-008, 
 25.40,   4.55E-008, 
 25.50,   1.23E-007, 
 25.60,   5.27E-007, 
 25.70,   1.08E-006, 
 25.80,   1.34E-006, 
 25.90,   1.46E-006, 
 26.00,   1.48E-006, 
 26.10,   1.43E-006, 
 26.20,   7.82E-007, 
 26.30,   7.84E-008, 
 26.40,   1.12E-007, 
 26.50,   2.68E-007, 
 26.60,   1.08E-006, 
 26.70,   2.60E-006, 
 26.80,   3.34E-006, 
 26.90,   3.70E-006, 
 27.00,   3.75E-006, 
 27.10,   3.71E-006, 
 27.20,   2.22E-006, 
 27.30,   3.63E-007, 
 27.40,   6.42E-007, 
 27.50,   1.62E-006, 
 27.60,   6.07E-006, 
 27.70,   1.47E-005, 
 27.80,   1.96E-005, 
 27.90,   2.19E-005, 
 28.00,   2.26E-005, 
 28.10,   2.18E-005, 
 28.20,   1.10E-005, 
 28.30,   3.80E-007, 
 28.40,   1.87E-007, 
 28.50,   4.28E-007, 
 28.60,   1.79E-006, 
 28.70,   3.95E-006, 
 28.80,   5.12E-006, 
 28.90,   5.73E-006, 
 29.00,   5.80E-006, 
 29.10,   5.59E-006, 
 29.20,   2.32E-006, 
 29.30,   1.00E-007, 
 29.40,   6.85E-008, 
 29.50,   1.73E-007, 
